,topic0,topic1,topic2,topic3,topic4,topic5,topic6,project,date
hanami-tags_2014-06,342.96568360410765,0.1432725811682555,0.14328420463362934,10.522420307501461,18.460677434974304,299.70296487459643,13.061696992924196,hanami,2014-06
hanami-tags_2016-01,381.0987812544941,0.14327825011507136,0.1432696672124289,7.405442832126687,25.222583226920364,338.6154583526501,15.37118641637633,hanami,2016-01
hanami-tags_2014-01,343.82235608193344,0.14327325539645444,0.14328420018547433,10.495743797910626,18.448975719788926,299.9102120397346,13.036154904955941,hanami,2014-01
hanami-tags_2015-01,345.27540953813167,0.14328332330611881,0.14327353486569594,10.63603045237221,18.250641865216803,300.43386180430673,16.117499481705227,hanami,2015-01
hanami-tags_2015-06,376.91386477441597,0.1432805871113342,0.14327164921009738,6.6253319023949,25.458330101871685,337.1553340492097,15.560586935681975,hanami,2015-06
frappe-tags_2014-06,920.1394527651943,0.14359207656795592,0.1433048715606568,0.14345128588453585,0.14338748140816712,0.143411307122468,0.14340021213520956,frappe,2014-06
frappe-tags_2012-01,96.81500152595981,26.927943584001518,0.1433109958590262,161.56611928987616,0.14344753053167286,17.26070283748582,0.14347423624030384,frappe,2012-01
frappe-tags_2016-01,920.139384316469,0.14366738242924776,0.14330630488234414,0.1434416391923145,0.14339030370026207,0.14341084670336682,0.14339920649739035,frappe,2016-01
frappe-tags_2013-06,1322.4800601787886,0.14324970020602673,0.1433400943981608,11.802965302675203,0.14351982712074865,0.1434773695673174,0.14338752705014168,frappe,2013-06
frappe-tags_2014-01,920.1394527651943,0.14359207656795592,0.1433048715606568,0.14345128588453585,0.14338748140816712,0.143411307122468,0.14340021213520956,frappe,2014-01
frappe-tags_2012-06,920.1394527651943,0.14359207656795592,0.1433048715606568,0.14345128588453585,0.14338748140816712,0.143411307122468,0.14340021213520956,frappe,2012-06
frappe-tags_2015-01,921.1393992792848,0.14364055879640278,0.14330437553046452,0.143458576048841,0.14338689073076388,0.143410690999303,0.14339962848023788,frappe,2015-01
frappe-tags_2015-06,914.1394041052215,0.14363461716065,0.1433060214154402,0.14345003820558236,0.14338952454250128,0.143415050349828,0.14340064297913252,frappe,2015-06
frappe-tags_2013-01,1196.139652338171,0.14345592405621513,0.14330450029676073,0.1434986512299695,0.14336693183570093,0.14334150132270435,0.1433801529338313,frappe,2013-01
web2py-tags_2014-06,1165.3616320576925,0.14344267482213077,0.1433489265719745,0.14345248301633512,0.14336531595588622,0.14348108985372965,58.92127745195723,web2py,2014-06
web2py-tags_2012-01,1110.7587621629698,0.1434610012193676,0.1433490324652775,0.14346273442851873,0.14337681402153002,0.1434980372124293,56.52409021755648,web2py,2012-01
web2py-tags_2016-01,1174.035895992492,0.143441435062766,0.1433467715625949,0.14345066837243928,0.14336232778683425,0.14348481442694874,58.24701799016466,web2py,2016-01
web2py-tags_2013-06,1154.4521073195758,0.14344731830766777,0.14335293858799755,0.14345968883364005,0.14336994151266147,0.14348631888860275,58.83077647416278,web2py,2013-06
web2py-tags_2014-01,1165.3616320576925,0.14344267482213077,0.1433489265719745,0.14345248301633512,0.14336531595588622,0.14348108985372965,58.92127745195723,web2py,2014-01
web2py-tags_2012-06,1122.914519411471,0.14345066954515603,0.14334330885700472,0.14346222610649736,0.14337709951634478,0.14348890496899963,60.36835837940703,web2py,2012-06
web2py-tags_2015-01,1165.3616320576925,0.14344267482213077,0.1433489265719745,0.14345248301633512,0.14336531595588622,0.14348108985372965,58.92127745195723,web2py,2015-01
web2py-tags_2015-06,1174.035895992492,0.143441435062766,0.1433467715625949,0.14345066837243928,0.14336232778683425,0.14348481442694874,58.24701799016466,web2py,2015-06
web2py-tags_2013-01,1124.0352641935513,0.14345031642519113,0.14334438178691206,0.1434642400251353,0.14337667504655421,0.14348940150008854,60.247610791536886,web2py,2013-01
symfony-tags_2014-06,0.14311448980784242,0.1431183537865813,819.1409980548895,0.14314406736882257,0.14309575439460578,0.1434024117788217,0.14312686793655482,symfony,2014-06
symfony-tags_2012-01,0.14321894338449304,0.14330574573062715,9.959855108902596,0.14331605172809986,0.14323012945221536,477.32382267066924,0.1432513501037726,symfony,2012-01
symfony-tags_2016-01,0.14311448980784242,0.1431183537865813,819.1409980548895,0.14314406736882257,0.14309575439460578,0.1434024117788217,0.14312686793655482,symfony,2016-01
symfony-tags_2013-06,0.14311621318808337,0.1431139600355598,800.1409757808158,0.1431424050479047,0.1430852247515935,0.1434460001939661,0.14312041593054367,symfony,2013-06
symfony-tags_2014-01,0.14311544878350732,0.14311932735743227,816.1409961248658,0.1431451381888323,0.14308955115299,0.14340653593027342,0.14312787368435248,symfony,2014-01
symfony-tags_2010-06,0.14347115019751364,111.50299973363244,1187.779666159876,0.14340600304312268,0.1436608247271755,0.14329535310468977,0.14350077528242136,symfony,2010-06
symfony-tags_2011-06,0.14317844687500542,0.14329119808052204,0.14358652397990385,0.1432899421843507,0.1432010697849817,467.1402465684888,0.14320625057998382,symfony,2011-06
symfony-tags_2012-06,0.14316873529547,0.1432284035787968,228.21899474628597,0.14330335443224967,0.143207470955477,312.0648353298938,0.14326195952662682,symfony,2012-06
symfony-tags_2015-01,0.14311448980784242,0.1431183537865813,819.1409980548895,0.14314406736882257,0.14309575439460578,0.1434024117788217,0.14312686793655482,symfony,2015-01
symfony-tags_2015-06,20.547625354172006,0.14348180460699997,536.9942085301767,0.14355022683604735,0.14328187858064262,68.88464716506996,0.14320504048815677,symfony,2015-06
symfony-tags_2011-01,255.30065314652975,137.2161535943996,1147.1022510726423,0.14341290064349252,291.60286501355216,17.0760961443295,658.558568127566,symfony,2011-01
symfony-tags_2013-01,0.14311621318808337,0.1431139600355598,800.1409757808158,0.1431424050479047,0.1430852247515935,0.1434460001939661,0.14312041593054367,symfony,2013-01
express-tags_2014-06,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,express,2014-06
express-tags_2012-01,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,express,2012-01
express-tags_2016-01,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,express,2016-01
express-tags_2013-06,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,express,2013-06
express-tags_2014-01,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,express,2014-01
express-tags_2010-06,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,express,2010-06
express-tags_2011-06,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,express,2011-06
express-tags_2012-06,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,express,2012-06
express-tags_2015-01,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,express,2015-01
express-tags_2015-06,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,express,2015-06
express-tags_2010-01,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,express,2010-01
express-tags_2011-01,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,express,2011-01
express-tags_2013-01,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,express,2013-01
pakyow-tags_2014-06,116.92758820853987,0.14336293363358774,0.14326843118824695,41.355949880044705,0.143320857289237,0.1430338091319267,0.14347588014622895,pakyow,2014-06
pakyow-tags_2012-01,31.23207852340307,35.04072267196213,0.1434898812396597,18.786198440378644,0.14354735993230647,0.14303708691877393,64.51092603615294,pakyow,2012-01
pakyow-tags_2016-01,68.90214124889108,0.14319976749375124,0.14326483780336738,26.381678499249656,0.1431922904036744,0.1430802438549263,0.14344311229138496,pakyow,2016-01
pakyow-tags_2013-06,31.23207852340307,35.04072267196213,0.1434898812396597,18.786198440378644,0.14354735993230647,0.14303708691877393,64.51092603615294,pakyow,2013-06
pakyow-tags_2014-01,111.22177265236223,0.14335768162569432,0.1432742459215883,42.06174282138689,0.14333102904098113,0.14303288893706093,0.14348868069953696,pakyow,2014-01
pakyow-tags_2012-06,31.23207852340307,35.04072267196213,0.1434898812396597,18.786198440378644,0.14354735993230647,0.14303708691877393,64.51092603615294,pakyow,2012-06
pakyow-tags_2015-01,118.41384591433072,0.14337019679695365,0.1432743443782467,40.86968176379005,0.14331948533920674,0.1430335646736397,0.14347473066486824,pakyow,2015-01
pakyow-tags_2015-06,120.78564460997066,0.14337354931828844,0.14326949332275057,40.497892299526875,0.14331303341565538,0.14303235084948085,0.14347466356988914,pakyow,2015-06
pakyow-tags_2013-01,31.23207852340307,35.04072267196213,0.1434898812396597,18.786198440378644,0.14354735993230647,0.14303708691877393,64.51092603615294,pakyow,2013-01
