index,topic0,topic1,topic2,topic3,topic4,topic5,project,date
0hh1,3942.8487175015016,781.7482992584205,12.44333352429093,2296.253574918964,28.369571030108943,832.3365037620704,0hh1,2016-01
2048,1103.7265913896483,0.167883337000557,0.16722087611957648,0.16773972962627862,62.54055379819018,25.230010868856724,2048,2016-01
AtomicGameEngine,0.16827646715239358,779436.3554894212,1347.6818889516987,199608.48178209845,36.58651683302518,39624.72604571202,AtomicGameEngine,2016-01
BEMSimpleLineGraph,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,BEMSimpleLineGraph,2016-01
BrowserQuest,11788.406525728426,1163.871629801442,1556.6133851867107,18363.772297623764,0.16770652131228933,0.16845511980635874,BrowserQuest,2016-01
CNTK,1690.4659251905296,2914.7456202510834,111.70237017577799,6934.564509448919,0.1670835531012864,122587.35449133035,CNTK,2016-01
Caret,19109.828568284694,1182.4007591656648,0.1684622149975533,298011.1455743567,1154.1906478746525,299.2659879883413,Caret,2016-01
Chart.js,78006.35372631907,0.1681624154110976,0.16822359466346445,0.16853495354678655,1995.973080083522,0.16827260706815395,Chart.js,2016-01
CodeIgniter,0.1681557849637235,12067.841657971967,11089.642098434319,42992.0572277354,92.12259700090547,0.16826304492102087,CodeIgniter,2016-01
Dash,58.90247457941039,93125.61651634226,835.769612621363,23776.115210893666,0.1680650859188082,384.4281204151175,Dash,2016-01
Decider,40.93286390849687,0.16804823701394322,67.38166264535512,1304.0570337328866,0.16688606668607864,3303.2935054072655,Decider,2016-01
GD,20.60057267958073,217.91906622521162,0.1685096868331071,17.76365443292016,4741977.848337,373.6998579698072,GD,2016-01
GamePlay,75514.9698854778,116937.05888133527,13961.53634318087,0.16823699125882544,1272.0981999076153,0.16845305291098697,GamePlay,2016-01
HLearn,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,HLearn,2016-01
KomodoEdit,0.16836319717221157,26614.86833772826,43078.71795303832,404704.9390460937,786.6933194021685,23773.61298030014,KomodoEdit,2016-01
Leaflet,24536.141796718995,548.8798118837667,238.24051735747145,1848.2200843778044,0.16769565414515228,51.350093991059374,Leaflet,2016-01
LightTable,6.531666731476321,39.85797584051561,6.114571549293491,146.33360805900006,0.16709663846945283,5.995081181141283,LightTable,2016-01
MLPNeuralNet,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,MLPNeuralNet,2016-01
ML_for_Hackers,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,ML,2016-01
MonoGame,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,MonoGame,2016-01
OpenRA,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,OpenRA,2016-01
PredictionIO,396.35834322817624,0.1684866981874778,31439.190714188542,4055.116061885626,0.16848639770938817,18260.99790758119,PredictionIO,2016-01
Starling-Framework,23228.79135108626,14446.023310008295,4706.731080340301,678.2467389632853,251.99110308704599,4038.2164164912474,Starling,2016-01
Theano,0.16847047308102095,237.9983050919115,852.9972355370915,9909.143927241752,0.1676654768507221,186229.52439608885,Theano,2016-01
Torque2D,404.9808313082373,44405.41669673227,2225.9504697281072,9165.680738271398,0.16863472223513937,1360.802629213367,Torque2D,2016-01
Torque3D,95178.9968589244,828329.8016394925,10117.708431377627,21444.0534125474,13.581058715916692,32744.85859853253,Torque3D,2016-01
adarkroom,6039.186990776486,3327.660121758791,0.16808498128878838,14502.406831537175,0.16852830174191713,2548.4094426136558,adarkroom,2016-01
arbor,5781.113549591448,1389.5162136766617,0.16826102298975895,1815.738921467406,199.69076819691347,20.772286039053967,arbor,2016-01
atom,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,atom,2016-01
brackets,73443.40277797676,24631.84968835105,11350.29217565374,604790.7812684423,291.50589076602137,0.1681985170500938,brackets,2016-01
brain,0.16855775123241237,0.16798083443081133,0.16810315202495707,292.4278233591305,26.126846855620567,1080.9406880470103,brain,2016-01
caffe,3789.323881527784,1436.9373960334872,9.145167335408983,745.3370944379976,0.16778498937015782,61687.08867564929,caffe,2016-01
