index,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15,topic16,topic17,topic18,topic19,project,date
0hh1,4649.902534988835,24.984063597143145,0.050000001050892626,0.05000000106621118,180.159338684333,0.05000000107918692,0.050000000983413916,0.05000000104105865,1273.3632449996583,0.050000001151220365,0.050000001053744456,0.050000001148402556,1728.5844393025018,0.050000001247921186,0.05000000118106262,0.05000000000008248,0.050000001096284205,36.30637840995862,0.050000000904145615,0.05000000096167557,0hh1,2016-01
2048,736.5197234103827,0.050000000488454086,0.050000001206427676,0.05000000074852115,0.05000000111045512,0.05000000110231585,297.59032307609897,0.05000000030235033,0.050000000478377174,0.050000000834425594,0.05000000114933901,0.0500000008735611,0.05000000077776035,0.05000000100908741,0.05000000066691418,0.05000000000010526,0.05000000073790496,56.25934822778926,100.83060527289697,0.05000000076582131,2048,2016-01
AtomicGameEngine,369.88056492158347,958061.524206665,97.12732945376372,5753.787811574984,807.9481281906246,110.87706213786724,52.91565053765721,3344.572867534578,8312.079177055033,8064.4111070496665,6019.4487064154255,1472.8220997570709,2372.19843134811,263.7814001758578,15756.490348521465,0.050000000000072084,0.05000000116127527,0.1770672580936768,0.050000001220235096,9193.808040955471,AtomicGameEngine,2016-01
BEMSimpleLineGraph,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,BEMSimpleLineGraph,2016-01
BrowserQuest,6702.812916792854,0.05000000120050422,0.05000000123229921,1170.4161680356005,173.66633242651417,3294.6390848238066,0.050000001169289585,1401.2900899060328,15505.698119372142,0.05000000093904984,3251.728714360829,0.05000000120654198,70.56997194974353,0.05000000116368616,962.7204161062416,0.05000000000002665,0.05000000085611114,0.05000000081023211,0.050000000976966635,338.9581861991279,BrowserQuest,2016-01
CNTK,0.0500000011389005,0.05000000117167607,0.05000000092853603,1061.816528357459,0.05000000098797271,0.05000000114184322,7.578401035770571,0.05000000115611654,56.801248820433266,0.05000000105781267,68295.38940690951,213.31277131887256,2428.704790808414,0.05000000094930106,257.44405840337765,0.05000000000000074,61871.54025981934,0.05000000028343783,0.05000000102488323,45.86253446204319,CNTK,2016-01
Caret,45.76138715441973,41.32851604066115,46.566795352278874,142.96956171762423,72.79611310600053,514.4839394112471,122.18840907944526,0.050000001245188906,87.93052325426275,0.05000000124535775,221.47352710198146,317730.29579976277,0.058174687789921097,294.21152673730614,93.08721707313065,0.05000000000007921,0.050000001294215037,343.2634436361805,0.050000001270180935,0.33506575074846273,Caret,2016-01
Chart.js,1993.5210981637695,0.050000000942565945,0.050000001181015025,0.05000000102618082,0.050000001157198326,3343.44241892118,1196.927087311599,0.05000000097288164,0.05000000106225377,0.05000000086886316,1069.594349487168,921.1113729366301,0.05000000108670527,0.05000000098282478,0.050000001033432474,0.050000000000111865,0.05000000089114117,1555.6964218538674,69730.02483247078,192.08241881586844,Chart.js,2016-01
CodeIgniter,0.050000000953974715,13030.289495337473,0.050000001056207014,544.5595451199199,6467.798806747553,0.050000000886691355,0.0500000010353887,7445.301048046496,4353.53631068735,9790.915781244634,0.05000000088437636,45.74570288734622,0.050000001056250604,0.050000001065969725,3840.879012764762,0.05000000000008688,0.050000000905130314,85.98196777217177,0.05000000104634873,20636.49232935506,CodeIgniter,2016-01
Dash,1462.5168217509895,18456.465296577873,0.0500000010275841,5583.353228926773,3417.8194736233236,0.05000000117780807,0.050000001133198385,0.05000000120509956,9.790693707551327,154.87618680001506,651.5556119591731,0.05000000112323111,25456.43584959213,50883.786715575385,12089.09527287797,0.05000000000004057,0.05000000080702283,0.05000000095287366,0.050000001029819996,14.854848546500234,Dash,2016-01
Decider,0.05000000106207178,0.050000000993691916,0.050000000801326855,0.05000000116543561,0.050000000766929814,0.05000000092581028,0.05000000111769063,46.906375997240374,119.27676566326569,0.05000000099602581,0.050000001054944676,510.85144296589516,0.050000001111019585,63.08749818454149,296.25997504618033,0.05000000000000006,3096.49546862779,0.05000000014951877,187.614398840144,394.908074662083,Decider,2016-01
GD,0.05000000123515303,152.54190500125756,71.72491373454449,65.71810784923034,24.005077051862393,15.141129988094903,46.663472908713636,0.05000000122849335,0.05000000124360005,0.05000000123224966,29.91173139519729,0.050000001198394275,1.3275082925971475,46.02942394531385,0.8051637474689739,0.05000000000007568,115.22415146093819,4742038.507412573,0.05000000127791486,0.05000000123245607,GD,2016-01
GamePlay,5.22895927107362,0.05000000090029713,59771.02613137752,0.050000001001967546,4079.6287027257385,2081.6557003314483,0.05000000109228989,0.05000000066752882,0.0500000008434187,0.050000000567831396,11332.543677563519,0.05000000117264488,0.05000000071334685,23825.639194038322,0.05000000073159082,0.05000000000010352,0.05000000104650464,2026.8512850756276,0.05000000117501167,104562.82634955377,GamePlay,2016-01
