index,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,project,date
0hh1,1050.3526521016845,27.53396798864249,5065.557807754032,0.06666683632460585,0.06666681732447016,228.7413752694613,86.71372459504569,0.06666679253032239,0.06666680409134734,0.06666680355587493,609.1557624241908,964.201655547788,0.06666684164972685,0.0666668156575695,122.27638660155668,0hh1,2016-01
2048,830.0678461519361,61.277837688518204,0.06666683314844646,0.06666675393161305,0.06666679767616454,0.06666673186796539,0.0666668730531849,0.0666667208064493,0.06666674381152472,0.06666676599057197,25.25891580240675,260.962007326959,0.06666683481403789,0.06666680384457643,43.766725170364936,2048,2016-01
AtomicGameEngine,0.06666685199088222,0.5877896194669953,14706.859516887154,1122694.9157241269,610.7879234708005,5.458061415167307,2704.062738358591,5940.659266601189,3925.3266094202727,12597.447683022116,3.562389764909935,138.25368663505503,346.73388120375915,6450.092869081931,2437.185192757985,AtomicGameEngine,2016-01
BEMSimpleLineGraph,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,BEMSimpleLineGraph,2016-01
BrowserQuest,1122.74467506505,0.06666676748481994,26668.669807159564,0.06666684209498502,337.3911534877869,0.0666668311663388,279.55372047451135,736.3753762476098,47.72557522895151,0.06666683167533925,0.0666668332835969,506.8629830402176,638.6596993154662,74.94086611244602,4894.742809730357,BrowserQuest,2016-01
CNTK,0.0666668210667972,0.06666673831536014,1090.2304673367391,2639.7845859416425,15523.707153036441,4641.128149897355,1276.3758557429992,41.23117747472956,88.46367454184598,0.0666668397138799,114604.72871390518,49.61605400457944,0.06666683933346976,0.06666685680135703,6250.400833944595,CNTK,2016-01
Caret,292.62004748914353,45.948601669400034,19821.928005550802,332.3711296956356,852.3843620882282,322.30668649972705,311678.8317393448,2230.581171285652,552.4882858352328,666.3632233072412,6.172832625196093,482.39259849148465,376.13996368115113,1.8131187819067278,83.65823343652927,Caret,2016-01
Chart.js,79176.12844842931,1629.043487925954,33.38845974479091,0.06666681997645794,0.06666683169529711,0.06666682703066412,1546.7062687159746,0.06666683209693258,0.06666680557594654,0.0666668405484727,0.06666682657750612,0.06666684858195664,0.06666680247392118,0.06666685813617944,0.06666684898178868,Chart.js,2016-01
CodeIgniter,0.06666684593915727,190.55910809632812,4551.117614645976,12839.68115319859,0.06666681416570777,0.06666684183287058,101.72057694882575,2064.20388016343,0.06666682501071201,16234.992745630983,0.0666668023414678,99.98636645281435,0.06666683434709171,34792.13023822965,15.208315622669627,CodeIgniter,2016-01
Dash,0.06666686010637769,184.7268171958152,0.06666685213322897,0.06666685230680115,0.06666684676816532,0.06666684509760497,11.24613912135954,0.06666684756579205,156535.68112466348,0.06666685497607022,0.06666684686121946,136.75802950441775,85.09712291543005,0.06666685195376118,47.890764852658904,Dash,2016-01
