index,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,project,date
0hh1,0.10002652749178258,57.71245943107604,474.70410852536304,0.10002289637214334,0.10001046495565134,0.10002941843197206,1672.889265333212,159.72589315198576,0.10002320959345136,1274.4681610397188,0hh1,2016-01
2048,0.10001721903671246,0.10000603057042588,277.3510629374218,0.10000981364393464,0.10001742943429723,0.10001512287220853,0.10003890957734073,0.1000350572357997,0.10001219601660381,216.84878528388788,2048,2016-01
AtomicGameEngine,15061.586431217322,1479.4900970592075,0.10002324222962111,397992.8057704538,3038.2220026950745,0.10002462681648026,85866.93076475752,123.91071498673833,17714.754147669708,0.10002303263678904,AtomicGameEngine,2016-01
BEMSimpleLineGraph,149.482901181451,40.06704344976085,2787.3427007681853,0.10001696420352416,0.10000579630343626,0.10003028122657068,0.10002574847915996,532.1673904291384,127.43985326205127,0.10003211745233677,BEMSimpleLineGraph,2016-01
BrowserQuest,183.6001530937851,20.111303889190157,265.6219526569539,42.03288266329786,0.10002253815766725,0.10002757182079156,7691.518798832096,0.10002199121117229,1971.4745847859278,4713.340251969324,BrowserQuest,2016-01
CNTK,45.57963422468205,0.1000217486318775,0.10002460612049242,7.162754908541236,0.10003258471945227,0.10002844982454094,3002.466176263713,58330.19126837955,0.10002988872633052,0.10002892063681511,CNTK,2016-01
Caret,770.5089445434535,1091.8277720548074,180.4086678219078,0.10002690755988461,91.79871505056434,264.15671364250454,131896.8199167541,286.99660560223015,0.10002833202750025,953.2826092380545,Caret,2016-01
Chart.js,0.10001756118386486,0.10002094633350919,30856.237045425954,0.10002471836442856,18.962765928525307,0.10002336241600797,0.10002710778242517,0.1000214874503455,0.10003047745794082,0.10002297296034451,Chart.js,2016-01
CodeIgniter,0.10002388042155003,3475.143319172703,0.10002527621527292,1621.2659673482576,60.41078889634792,4136.980403533576,5321.270270168432,0.10001824207927987,14191.69388793044,491.93529553812465,CodeIgniter,2016-01
Dash,69124.11762519825,415.86856668965606,39.87104004958592,6692.745662362162,0.10002611943849254,0.10002820438995169,4994.853887908773,553.7830268720661,5578.460107850872,0.10002869474121803,Dash,2016-01
