,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,project,date
frappe-tags_2014-06,0.10000026017527024,0.10000026012444907,0.10000025995359789,0.10000026004090067,0.10083060596264562,0.10000025998024877,0.1000002601179976,0.10000026029130203,5.942254033386256,0.10000026010381996,frappe,2014-06
frappe-tags_2012-01,0.10000031753762209,0.10000031737131153,0.10000031789597671,0.10000031755799761,0.1000992244121994,0.10000031737011827,0.10000031777963153,0.10000031767950943,6.940898751783031,0.10000031800260868,frappe,2012-01
frappe-tags_2016-01,0.1000003670903077,0.10000036702727723,0.10000036630031955,0.10000036675999996,0.10153975044560717,0.10000036640339109,0.10000036678292686,0.10000036635968614,7.927774209185358,0.10000036650666186,frappe,2016-01
frappe-tags_2013-06,0.10000018532275158,0.10000018549070298,0.10000018556143275,0.10000018553450189,0.10005572794392331,0.10000018554913064,0.10000018543969233,0.10000018541047295,6.100644387610745,0.10000018543265916,frappe,2013-06
frappe-tags_2014-01,0.10000019732606258,0.10000019738989871,0.10000019756275949,0.10000019755978791,0.1000317962378932,0.10000019731172247,0.10000019741521243,0.10000019731112239,5.8504627573789385,0.10000019749749998,frappe,2014-01
frappe-tags_2012-06,0.10000015154848363,0.10000015165717792,0.10000015207440015,0.10000015159452653,0.10003599065541674,0.10000015174862924,0.1000001518622763,0.10000015155713199,6.01435172310158,0.10000015190526876,frappe,2012-06
frappe-tags_2015-01,0.10000034026110613,0.10000034000188567,0.10000033976372502,0.10000034012491482,0.10092856667254459,0.10000033961676637,0.10000034010293771,0.10000033999647272,7.887009356687054,0.10000033991334045,frappe,2015-01
frappe-tags_2015-06,0.10000033971712931,0.10000033952591288,0.10000033906161548,0.10000033935324609,0.10111507857872479,0.10000033903001404,0.1000003394911639,0.10000033907923767,7.844263933875254,0.10000033935518618,frappe,2015-06
frappe-tags_2013-01,0.10000014874873796,0.10000014884720362,0.1000001491331832,0.10000014880858597,0.10004217611401112,0.10000014888300511,0.1000001488455447,0.10000014871263375,5.8522206449972085,0.10000014902485323,frappe,2013-01
web2py-tags_2014-06,0.1000010529579153,0.10000105307838289,0.10000105252590234,0.10000105273178983,0.10038577787185074,0.1000010524634584,0.100001052817798,0.10000105282319387,23.060225371656944,0.1000010530801128,web2py,2014-06
web2py-tags_2012-01,0.10000072474743402,0.10000072510031102,0.10000072460120006,0.10000072482167689,0.10007390353690314,0.10000072453797901,0.10000072476529644,0.10000072496808204,23.384114837807928,0.10000072509346594,web2py,2012-01
web2py-tags_2016-01,0.10000110417557227,0.10000110444910913,0.10000110382831184,0.10000110410303904,0.10042852943192367,0.1000011038173097,0.10000110403367424,0.10000110414609878,23.20401067274795,0.10000110441799666,web2py,2016-01
web2py-tags_2013-06,0.10000107389939324,0.10000107402758053,0.10000107338368781,0.100001073700888,0.10027091550383904,0.10000107348586053,0.10000107371862005,0.10000107378638975,23.35328202259141,0.1000010740597113,web2py,2013-06
web2py-tags_2014-01,0.10000106538812527,0.10000106549271365,0.10000106490151624,0.10000106513672295,0.10037966833206055,0.10000106491457136,0.10000106518927106,0.1000010652794264,23.066105930905653,0.1000010655140398,web2py,2014-01
web2py-tags_2012-06,0.10000072034084198,0.10000072062326135,0.10000072012616255,0.10000072035762256,0.10006902388016913,0.1000007200983055,0.1000007202781136,0.10000072050738992,23.606043553048092,0.10000072062167484,web2py,2012-06
