index,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15,topic16,topic17,topic18,topic19,topic20,topic21,topic22,topic23,topic24,topic25,topic26,topic27,topic28,topic29,topic30,topic31,topic32,topic33,topic34,topic35,topic36,topic37,topic38,topic39,project,date
Decider,0.025,494.28209846843265,0.025000000000000005,0.025,443.722912325867,0.025000000000000005,0.025,28.46428631069334,0.025,0.025000000000000005,0.025,0.025000000000000005,0.025,0.025,0.025,0.025000000000000005,0.025,0.025000000000000005,280.70720392389904,0.025,0.025000000000000005,0.025,0.025000000000000005,0.025000000000000005,0.025000000000000005,1037.1204583422482,0.025,0.025000000000000005,0.025,27.853040627465607,0.025,0.025,0.025000000000000005,0.025,0.025,0.025,0.025,0.025000000000000005,0.025,0.025000000000000005,Decider,2016-01
GD,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025,0.025000000000000005,0.025000000000000005,0.025,0.025,0.025000000000000005,1404803.7226013432,0.025000000000000005,0.025000000000000005,0.025,0.025000000000000005,0.025,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.4580161823932843,79.89438185039477,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025,0.025000000000000005,0.025,0.025000000000000005,0.025000000000000005,0.025,0.025000000000000005,GD,2016-01
GamePlay,0.025000000000000005,0.025,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025000000000000005,624.3735161142265,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025,0.025000000000000005,0.025000000000000005,0.025,0.025,0.025000000000000005,0.025,0.025000000000000005,0.025000000000000005,0.025,0.025000000000000005,0.025,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025,0.025000000000000005,80780.76092780603,0.025,0.025000000000000005,0.025,0.025000000000000005,136.94055605318601,0.025,0.025000000000000005,0.025,0.025000000000000005,0.025000000000000005,0.025,0.025000000000000005,GamePlay,2016-01
KomodoEdit,161.49471194825367,25.823967900101582,0.025000000000000005,0.025000000000000005,356.72840870993036,39.64916779844369,1425.781246576846,146.20473730338952,0.025000000000000005,120.71095449252921,0.025,0.025000000000000005,668.5054082912292,0.025,0.025,88.6910860212178,0.025000000000000005,0.025000000000000005,284.9389013129364,0.025,0.025000000000000005,0.025,82.82093039412939,306.95220644976416,33.257997191441106,0.025000000000000005,0.025000000000000005,28.97229164171634,61.36626703063583,270.893868063587,0.025000000000000005,0.025000000000000005,238.71763550348038,0.025,377.93239548441335,0.025,449.33398051552115,220644.16679285959,0.025,362.5820444035676,KomodoEdit,2016-01
Leaflet,0.025,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025000000000000005,3.606803292390187,0.025000000000000005,89.43212186631806,1186.9744065128402,83.89018630992422,0.025,56.514225947227324,9579.455490039581,0.025,0.025,0.025000000000000005,0.025000000000000005,0.025000000000000005,52.316947106069804,0.025,0.025000000000000005,0.025,49.92364181021943,91.38285744120878,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025000000000000005,74.57401876753406,0.025000000000000005,381.20233955852143,0.025000000000000005,0.025,0.025000000000000005,0.025,0.025000000000000005,60.026961341139675,0.025,0.025000000000000005,Leaflet,2016-01
LightTable,0.025000000000000005,5.669373121126773,0.025,0.025000000000000005,0.025000000000000005,17.796517149644192,0.025000000000000005,24.83548592775224,0.025,0.025000000000000005,0.025,0.025000000000000005,0.025,0.025,0.025,0.025,0.025,5.174924111763912,0.025,0.025,0.025000000000000005,0.025,0.025,0.025000000000000005,0.025000000000000005,0.025,0.025,0.025,2.9845398029024364,0.025,0.025,0.025000000000000005,7.2106880107081865,0.025,0.025000000000000005,0.025,23.503471876062452,0.025000000000000005,0.025,0.025000000000000005,LightTable,2016-01
MLPNeuralNet,0.025000000000000005,0.025000000000000005,0.025,0.025,0.025,0.025000000000000005,0.025000000000000005,4.40788619347997,0.025000000000000005,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025000000000000005,52.465402020543266,0.025,38.09447476723024,0.025,0.025,0.025,0.025000000000000005,221.85322604254432,0.025000000000000005,0.025000000000000005,43.09315827865249,162.66898914828164,10.591863548992215,0.025,0.025,0.025,0.025,0.025,0.025,0.025000000000000005,0.025,0.025000000000000005,MLPNeuralNet,2016-01
ML_for_Hackers,68.02000824213326,10.720511857986931,0.025000000000000005,68.16280245705856,0.025,0.025000000000000005,0.025000000000000005,74.64442894208905,0.025000000000000005,0.025,0.025,0.025,0.025000000000000005,0.025,0.025,0.025,0.025,47.853800985846455,332.07856494836085,0.025,0.025000000000000005,0.025,0.025,0.025000000000000005,358.9539629051732,1557.090903812155,0.025000000000000005,0.025,0.025,68.70001584785135,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025,0.025000000000000005,0.025,0.025000000000000005,0.025000000000000005,0.025,0.025000000000000005,ML,2016-01
MonoGame,140613.05925478612,0.025000000000000005,0.025,0.025000000000000005,0.025000000000000005,640.1807696405027,1051.6983268372628,0.025000000000000005,0.025000000000000005,2767.358816061932,0.025,0.025000000000000005,0.025000000000000005,0.025,0.025,0.025,0.025000000000000005,345.70454810759196,0.025000000000000005,0.025,0.025000000000000005,0.025,0.025,8876.316933754451,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025,0.025000000000000005,0.025,0.025000000000000005,365.8563507384588,0.025,0.025000000000000005,MonoGame,2016-01
OpenRA,2898.0668231511536,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025000000000000005,5087.4656494187075,43.17406223472354,23.293145977031223,78484.83842203359,0.025,0.025000000000000005,0.025000000000000005,0.025,0.025,107.66659580266798,0.025,0.025000000000000005,125.07063964332414,0.025,0.025000000000000005,0.025,428.3181616585668,50.124130399317266,148.9751509238712,0.025000000000000005,114.19645450356886,674.9786769756308,0.025000000000000005,0.025000000000000005,86.89047107797231,0.025000000000000005,0.025000000000000005,0.025,1460.3220046200668,0.025,0.025000000000000005,0.025000000000000005,0.025,27.994611526698552,OpenRA,2016-01
