index,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15,topic16,topic17,topic18,topic19,project,date
0hh1,0.05000000119464087,194.82581339060064,0.0500000006792584,0.05000000085834794,0.05000000065004338,0.05000000107184783,953.1240309894409,99.80081527438078,501.5999723978297,1096.7002014646005,0.05000000083494605,0.05000000097189375,793.2491664713522,0.050000000000000065,0.05000000102154361,0.050000001077590485,0.05000000036820026,0.05000000064836228,0.05000000082193285,0.050000000000023484,0hh1,2016-01
2048,0.05000000050431703,0.050000000389755196,0.050000001215800595,0.050000001039605294,0.050000000216167274,0.050000000516536136,0.050000000960409144,0.05000000039894648,54.9760081863406,210.28587752063282,0.050000000408441735,0.050000000382360764,228.88811428388527,0.05000000000000396,0.05000000060639574,0.05000000093057705,0.050000000474178664,0.05000000055437253,0.05000000030203944,0.05000000000354248,2048,2016-01
AtomicGameEngine,680.7533798422363,0.050000001193759955,0.050000001326555146,0.050000001208392986,844.720743320025,308.9553755268612,1716.445053971341,2304.4574566515735,0.050000001163399484,14.511526664383235,839.7123671012112,509064.825262379,0.05000000119707924,0.05000000000005834,8.075826079441066,0.05000000117213731,36.115923584049696,5.282801246604011,5453.744283385119,0.05000000000904287,AtomicGameEngine,2016-01
BEMSimpleLineGraph,11.406821811659333,8.752632718343127,68.12966212966417,0.05000000128591077,73.81832850945602,0.05000000117522285,0.05000000098773792,0.050000001157754353,0.050000001097741484,0.05000000129546094,39.83497629797079,0.05000000081845011,2956.7957146667527,0.05000000000000264,165.3583228961044,234.6842388927648,0.050000000247729104,0.05000000091535492,77.6693020664169,0.050000000000000065,BEMSimpleLineGraph,2016-01
BrowserQuest,0.050000001078776425,0.05000000086868078,0.05000000063259195,0.05000000098426111,614.4576995300337,0.05000000102328999,3125.137385960292,3090.6469437037813,2378.3841280405545,3845.346843773458,0.05000000123204447,0.05000000104953821,1528.6844488691545,0.05000000000012169,0.05000000121345488,0.05000000074022791,0.05000000131762419,304.69255010384757,0.050000001118838074,0.05000000001141122,BrowserQuest,2016-01
CNTK,0.050000000867476226,0.05000000100635987,0.050000000864334176,0.05000000100355839,61385.04999996556,0.05000000075386555,0.05000000095467761,0.05000000090306521,0.05000000086080106,0.05000000070154008,0.05000000100820772,0.05000000085284689,0.050000000732631285,0.05000000000000132,0.050000000845269975,0.0500000011876546,0.05000000057891868,0.050000000725526,0.050000001057015374,0.05000000000154658,CNTK,2016-01
Caret,0.05000000120510712,0.05000000116986514,11.822314117300685,70.25168318296319,1.8659358821086354,0.05000000120519386,128399.71658104385,0.050000001142981594,1565.286958227041,0.050000001058927206,1884.471726743435,736.0066358112962,210.20601483393625,0.05000000000004627,1399.532542725814,524.396599719114,99.30243039390102,285.14615042790183,347.64442682798335,0.0500000000087682,Caret,2016-01
Chart.js,0.05000000083951777,0.05000000095613851,27958.301504088515,97.67332568363068,0.05000000084787893,0.05000000100604787,0.05000000111050346,64.6668328211394,750.6942938260562,0.05000000079375484,0.05000000068159812,0.05000000080190691,1987.3064260061428,0.05000000000006784,0.05000000071973837,0.05000000077415656,16.65761755219202,0.05000000106063086,0.05000000094042619,0.05000000001040815,Chart.js,2016-01
CodeIgniter,0.05000000102341432,0.05000000106667996,58.24770409753291,0.05000000104734425,0.050000000460797736,728.8716088598547,2694.669605975329,0.14942983951406746,0.0500000007418845,0.0500000010829834,1421.4200859519767,4776.934437789411,0.05000000100922291,0.05000000000003018,0.05000000096281488,0.050000000700395876,0.050000001405154794,1048.1567462126611,18569.950381250626,0.05000000000652774,CodeIgniter,2016-01
Dash,2339.768039133882,873.3125137125394,11.21386514699257,0.050000001177001256,919.3738386971285,249.95435120298882,106.36670686472016,5961.375232567986,0.05000000115161015,223.66657461087104,1.8853196994489252,11823.069017516933,190.82090517390117,0.05000000000001418,60753.680762718985,0.05000000104749863,0.05000000089532707,0.05000000100305867,3945.1628729031777,0.05000000000303887,Dash,2016-01
Decider,0.05000000027281215,1658.3861566673688,0.05000000080405161,0.05000000126246928,0.05000000059370701,0.0500000005568437,0.05000000083615134,332.41944009777814,0.05000000067960932,0.050000000888137434,0.05000000133221108,0.05000000073549143,0.05000000072629552,0.05000000000000006,0.050000000591701545,135.8007382450422,0.05000000024088037,0.0500000006867315,185.59366497839716,0.05000000000000005,Decider,2016-01
