,word0,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,word16,word17,word18,word19,word20,word21,word22,word23,word24,word25,word26,word27,word28,word29,word30,word31,word32,word33,word34,word35,word36,word37,word38,word39,word40,word41,word42,word43,word44,word45,word46,word47,word48,word49
topic#0,0.6983141701985127,0.37425757629434625,0.3477703534236697,0.2986242198477676,0.2707535593703939,0.24498554536826908,0.24388498630123318,0.22101542342544092,0.21801707785795482,0.21761811888897084,0.21328043833507576,0.2080935720978801,0.19810765433405672,0.1843696294290291,0.17852783047748041,0.17659629882456998,0.17281544425291687,0.17018529494579926,0.16863082369742427,0.1673559535907976,0.16696978514601765,0.1665804634362768,0.1660679211495619,0.1658183014428379,0.16004173085688642,0.15876925634541017,0.15786489734836273,0.15632656898667543,0.156170172485251,0.1556563331675721,0.1536782637255896,0.15333634823163153,0.15265992665659583,0.1515123538314489,0.1509538222935714,0.14887474697942824,0.14828010661565946,0.14650985973977956,0.1465042437225551,0.14588189270751542,0.14560064032942538,0.1437122408554502,0.14269709731029856,0.14100779895715757,0.14088632824128272,0.14033669238104304,0.13911229777224327,0.13883774565859763,0.13836467451366985,0.13809618751607244
topic#1,204251.31941866275,108422.0607810741,63015.81693741404,41520.083711784384,40250.2847329704,38510.76596117386,35732.84201574533,32729.349344663155,28214.33674898394,26843.255664741293,26042.8389380024,25575.47983748641,25033.86707245207,23944.5013867255,22656.220499570714,22416.616904335977,22164.113835596596,21972.175788586206,21545.12682156121,21530.604065183492,21472.21887551848,21026.98800992986,19977.055354406242,18569.776301800404,18554.167400027858,18478.692360691493,18014.15917524901,17892.607728074472,17807.850734170566,16757.669169188717,16430.388868815822,16409.060343478908,16267.636644650245,16230.61745041904,16021.241365810325,15513.128565397556,15225.762858788241,14658.061639316076,14405.750632548214,14183.701950527562,13855.177379966413,13840.156147660455,13591.182640005407,13497.671781841424,13458.453229147068,13409.151719483072,12959.282150526167,12360.09515706198,11984.76496867354,11865.808786163601
topic#2,145611.2671582,113629.04859039515,48177.647164933085,38250.15325491153,36902.34712549821,31063.159496720036,30560.011602454364,26132.20956845503,24310.125928118934,19777.639589285478,19418.83492479434,17859.73846648847,14822.350859866301,14116.588305097099,13811.157633993305,13789.33587014221,13239.479821023497,13167.470922979634,12843.60279188249,12584.515051032187,12148.284745328143,11846.825845004634,11772.282657889067,11606.88910701706,11197.046500868786,11077.586588481337,10231.019044841321,9841.89988385815,9661.671079619846,9631.295512285064,9361.766544931297,9236.882420807899,9092.193632225502,8943.286717989056,8622.143345388224,8522.79586089825,8505.127417410271,8280.993689812669,8091.016761242152,8079.130889298485,8003.378203215171,8001.65304468172,7938.26597198568,7869.789777701216,7866.46067887499,7846.576295642368,7701.7314964250045,7561.02126883834,7547.723884338743,7540.232536760942
topic#3,120660.45932338799,74809.98434089989,68220.98777665022,43853.720465436,36487.294852512554,26310.8562605109,24444.609238143537,24030.84594235004,23544.21590634756,23129.390076354113,22042.910978801985,19171.128853938895,18999.63128116779,18605.672072807054,17825.752558656925,17821.832176887747,17800.619827831364,17323.59118371939,17302.882142526967,17122.880403067185,16237.667054834907,15545.891827428306,15286.118649650616,14684.108914912867,13217.149084197905,12760.368818121573,11406.43415514917,11285.451605578919,10968.331799755837,10654.136185185136,10262.296561472105,9740.984430995182,9227.464322918635,8958.367571648496,8831.951599505841,8751.08251694036,8675.539571532001,8605.349355403228,8395.022918007135,8202.382534327233,8195.116561438625,8102.6067377967875,7518.154445661172,7367.77616185068,7212.9234458625715,7152.503108222379,7061.816752255221,6975.861617731872,6969.720275129731,6609.332924968454
topic#4,3816.9291087757233,3654.736261948835,2769.536052507193,2696.626171026511,2434.9522251769063,2172.8874545219314,1969.2703113344005,1748.7895598528846,1745.2590753721427,1744.9291356087124,1371.9633156192701,1319.408831562898,1306.7887689890188,1243.4594736864678,1152.0507386234103,1143.1794947561593,1083.038272549538,1069.9834726634258,1023.163881090875,989.2269388213706,918.667533286336,902.5831668239093,882.6790989359248,856.0792001174606,854.1760820186962,821.0891553013606,814.1483862770556,810.7621057894893,800.5579338069143,789.3062753519438,786.0058830693307,784.5787852774766,751.2413578749246,726.9831027156074,719.3338725388757,698.0119278787353,688.4515913972255,683.241867824004,651.8954663255339,648.9395820164058,648.0029442052612,643.7702265427016,632.261366666042,621.6777979930531,615.5234357312951,596.3507305601937,589.1648313687846,559.4135622502699,558.3728007322653,557.8392733701646
topic#5,74599.80504004385,55487.55229554586,41708.4308111057,38008.90124776862,34067.91753218642,31049.22411156874,30502.0832046825,26760.475866265795,24052.151108224145,17970.937832135853,17951.03179901031,17000.633590326142,16976.412961586546,16971.431694632705,15837.310719226462,15676.89334067336,15366.203200799782,15161.00375697704,14939.302580753054,14408.099944351401,14265.519566476394,13588.133109161912,12945.229849906165,12726.079066037852,12169.261924712357,12054.700303503378,12020.779014206722,11899.369086241215,11834.908010942188,11685.91206590551,11563.97350388883,11519.682574154367,11386.419196242136,11345.628456965826,10908.474024905612,10653.648856105074,10136.436705494521,10065.24040959036,9811.24799212254,9279.96312258959,9256.435708455165,9208.774931751826,9084.423356335641,9059.490150846954,9037.632850116304,8931.611097314995,8475.730076596448,8331.369961970777,8279.507933758652,8267.294821947991
topic#6,4572.818826147478,3710.638768623906,2281.9799725580315,2237.5515410864564,2177.0970040035804,1912.093697565475,1564.7256607353856,1557.8561089917725,1473.6196753651343,1464.5531421199908,1277.1731052313303,1274.9173786017175,1237.8556399420713,1208.3338579296806,1140.9455987666024,1098.849764501384,1042.7707259131341,1041.9247816425168,1011.5591087269445,1001.0688345858791,970.5573501811028,952.168751172691,944.4319038098612,926.8584697212742,925.671133032552,919.3469808454305,890.7944285714464,889.9821576886151,856.4891460020478,853.7563656077798,793.4511919765598,792.0736607108852,791.7919223502007,784.4437762083021,782.4653916808086,779.4379608200056,769.2943057633377,743.3152340805044,727.4941436950212,716.3393012378533,700.8902194121544,697.5200955363626,675.771506310404,675.4836355238976,671.2769350250919,650.9762723366537,650.3993545138532,629.2501918180944,623.1854912736258,615.4476902349724
topic#7,9452.819270890672,8396.363276179523,8132.380337905708,8041.833208441566,5533.256189012406,5381.288560606889,5010.03101460198,4850.288955896082,4616.8105146980015,4205.128676853789,4194.913037113813,3967.071679468835,3966.479355565342,3919.8202159753646,3613.271733539389,3460.4799495778457,3347.927805872096,3094.6888104242125,2675.055012163827,2667.7983820080726,2495.525555507173,2396.9655816447807,2376.277943876036,2229.458530486397,2196.802069764577,2172.1847456158066,2157.611368692239,2156.1272487001897,2092.024960331002,2068.4580534895645,2019.1300779283745,1929.5013910052442,1851.6586786895245,1846.3019004662951,1746.4602034502936,1745.7731574028014,1740.498097692375,1732.0709596134168,1731.839327280767,1720.4446901945678,1712.014530965107,1711.0487441292776,1685.8759105107051,1646.820064048778,1636.1889603944476,1525.4761763621334,1522.6778267899033,1518.2222497489709,1514.5076332123276,1479.0638007259379
topic#8,15747.28816134492,13156.967522971654,11296.502798558753,8818.103883507853,6015.875949572982,5955.005794758386,5931.034792530793,5720.474006003299,5670.617757610009,5051.923026539744,4748.217615371941,4463.161273153493,4300.139009917679,4286.81092756564,4008.989236615097,3923.3959925568806,3616.67613063478,3106.551384839476,3098.2880898953617,3044.421030895425,2750.0696617894496,2718.1097725940112,2653.6501934108533,2596.159576944923,2581.2028067374204,2473.470874303299,2285.419540295281,2263.073193336298,2187.758256118035,2140.6880856871367,2111.9702796075367,2039.092479219647,2035.2425018977037,2033.050820675011,1997.8034367600028,1993.3323876838326,1932.5222660046356,1855.617689015456,1803.1029802561802,1794.8955349993687,1784.011011571878,1754.052372266665,1748.7599703914866,1737.7053027839868,1727.777360595134,1727.3822512008676,1721.4679722671035,1717.7745276332325,1641.77419241178,1626.9637272043342
topic#9,20283.515876165722,19726.460855025136,16266.87745804952,15324.8691106213,14203.933033923748,14016.545421348388,12952.087890785346,12143.791711902268,11537.41541006277,10923.735022771458,10904.207771444695,10190.660522758924,10100.140927218281,10071.476491195619,9869.519746165694,8879.668577274533,8829.776846027413,8740.367268523083,8668.9528519956,7684.287351561703,7468.1989711333545,7444.3636388766845,7380.461293144098,7184.872377778914,7115.512753807574,7035.686789317856,7012.864757558437,6991.498439343181,6920.934059829278,6745.438895049943,6421.742844052151,6289.025728588225,6172.466430637254,5986.645126680273,5925.081141932863,5903.602669148781,5862.913425134754,5727.559215242258,5712.446862152056,5527.537020267163,5317.340769267545,5290.221995310106,5228.572957342856,5136.604147397833,5030.051446874186,4992.372073502078,4978.787130490776,4855.86599527565,4770.7385562336785,4740.429221777263
