index,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,project,date
0hh1,125.85080579953193,54.134559274009455,948.6731653000762,0.10002716641566137,0.10002415148125962,1691.662129021872,30.694713011853917,0.10003124635386917,4376.483789435778,666.2007555883949,0hh1,2016-01
2048,466.4482482036501,0.10001571167198577,200.00361909699248,0.10001856488832869,0.10001493963068296,449.2393492290366,61.66235683326582,0.10000718782123032,0.10002275472106352,14.146347477854125,2048,2016-01
AtomicGameEngine,0.10002792168281342,761112.4545299148,108.15914213276623,178230.62188279856,35726.484568298416,0.1000268514625562,0.10002775774309629,2800.8043210942055,1309.1256582686688,40766.0498144741,AtomicGameEngine,2016-01
BEMSimpleLineGraph,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,BEMSimpleLineGraph,2016-01
BrowserQuest,564.9896066351793,0.10002531182979991,3422.2878635815587,2667.2835031690465,0.10002865240080319,4037.751343885884,0.10001855875255285,1498.8373944688303,20681.45018692646,0.10002879222048844,BrowserQuest,2016-01
CNTK,0.10002663082163601,368.94928002379703,2224.395270013833,1318.2064225221902,0.10002787549631852,13.538263075594084,0.10000721108624987,0.10002820130243383,11553.317468655836,118760.1932057384,CNTK,2016-01
Caret,11.890143412798126,278.39485580161687,1923.5865662897133,2038.319936727167,0.10002817664145429,91.29067916218949,899.4495105909106,0.10002717677317889,313314.8389510946,1199.029301444492,Caret,2016-01
Chart.js,73087.7671472897,0.10002234135039968,0.10002787325167321,0.10002538353144749,0.10002640888592264,4908.227774074499,1642.1083081819727,0.10002334373195029,364.2966215980702,0.10002347784669043,Chart.js,2016-01
CodeIgniter,0.10002716247170045,13296.01979066158,460.69638183083663,5077.775486011524,37769.38891581119,0.10002195786776188,76.99389831553636,6870.384102624045,2690.441350273441,0.10002532161420293,CodeIgniter,2016-01
Dash,109.31621663170408,78744.13610375805,7796.954852613754,21582.320401191646,7709.638786780654,16.960320406481177,0.10002677023222421,479.53519239358377,1105.4054461918404,636.6326532031117,Dash,2016-01
