index,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,project,date
0hh1,956.2428496199672,27.935972244030616,4302.714156318825,0.10002714680699865,0.10002592521792077,625.8873348167643,778.2999353203417,0.10002333615337977,0.10002690618477879,1463.5196483597035,0hh1,2016-01
2048,717.053330619939,59.771369047650104,0.10002181922741629,0.1000127449993783,0.10000750478165081,14.03698478466156,208.77753366630512,0.10001457154954818,0.10002374655593523,221.860701493627,2048,2016-01
AtomicGameEngine,0.10002879951175941,1.5906463814617384,17256.00012292979,1117152.3965358364,3738.459894379407,130.42953301641137,711.7002876011447,32458.603213793645,1096.341669835323,16.37806663741069,AtomicGameEngine,2016-01
BEMSimpleLineGraph,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,BEMSimpleLineGraph,2016-01
BrowserQuest,1204.799024658957,0.1000248171873928,23376.989723434468,0.10002657867882618,1814.1602354986708,0.1000272120342877,5381.284209062298,16.223063386009432,152.22175091546993,3362.021914404554,BrowserQuest,2016-01
CNTK,0.10002590981022086,0.10000864636127461,14091.459038978943,1911.6055346267756,0.1000263450465333,129288.30850717363,891.6811581071955,0.10002770730102223,22.44564589868182,0.10002652044234157,CNTK,2016-01
Caret,67.07162972184622,605.7213204600992,331201.614751515,470.66428468553715,851.3455872779413,367.80810367935186,1911.546154175606,0.10002832082079588,2184.454628919816,85.67351103261925,Caret,2016-01
Chart.js,78633.60414677458,1649.3256454613886,724.6408750704248,0.10002205187763517,0.10002332282412522,0.10002364880131127,0.10002745701060997,0.10002909515496648,0.10002026095117475,1377.8291868173646,Chart.js,2016-01
CodeIgniter,0.10002858654643128,148.598749934326,4757.5497610009315,13916.911501342891,764.0892465412206,0.10002309172564067,1042.908746052489,50259.5418944081,0.10002594712953287,0.10002304530471001,CodeIgniter,2016-01
Dash,88.02994242660856,0.10001996982649325,10699.578620558223,43818.82163519973,821.3053736206657,13.836247451599256,3791.2302251858,11347.864930998876,86389.60653357388,31.62647087201991,Dash,2016-01
Decider,44.6776713965775,0.10000532789516249,1598.682993531746,0.10002575845209301,37.773305004312036,3301.239428039682,0.10001651570561332,254.12650312836377,0.10002339588800813,0.10002789635337515,Decider,2016-01
GD,0.10002953168446227,4933024.054588462,0.10002871777292718,62.20451987179364,0.10002866237924722,88.18446046745413,71.03991037575375,0.10002841605015242,59.01637339692794,0.10002892142496415,GD,2016-01
GamePlay,0.10002728970057244,1337.5293552326375,0.1000237624918451,0.10002081931950753,0.10002444121815864,0.10002523261993501,224588.52677158822,0.10002631021336866,216.01778844076338,3003.325936796471,GamePlay,2016-01
HLearn,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,HLearn,2016-01
KomodoEdit,0.10002320664441888,23.5274861302236,384400.06862103275,38267.478372003396,37362.24829665045,4524.343286875786,22.15075947570073,73655.88310101142,0.1000263625389557,0.10002685341258466,KomodoEdit,2016-01
Leaflet,14032.586807340891,0.10001594477606363,1502.2617637868366,70.6316718888391,113.2576929501358,3.9490493739847206,705.3014212171255,0.1000275291382752,218.17432478414594,12253.637225159378,Leaflet,2016-01
LightTable,0.10002462716961602,0.10000609394734734,112.43068403087008,0.10002058970654952,0.10003065719837059,12.868614681186541,40.33097654280952,56.76960003317882,0.100018094325648,0.10002464939457692,LightTable,2016-01
MLPNeuralNet,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,MLPNeuralNet,2016-01
ML_for_Hackers,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,ML,2016-01
MonoGame,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,MonoGame,2016-01
OpenRA,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,OpenRA,2016-01
PredictionIO,22.991479145579724,0.10001909579162482,0.10002562463145533,0.10002535745867816,23693.639853898996,21536.97294485027,0.1000284467782023,11174.642648702238,0.10002278486006708,311.25295205760614,PredictionIO,2016-01
Starling-Framework,4998.274323240706,263.19666157209565,0.10002779701682954,464.7043431921577,1733.225289649839,2702.2604594140576,31631.37197399887,2508.6360690002184,724.0497978570093,7729.18105423906,Starling,2016-01
Theano,0.10002515073955905,0.10001295074155796,12086.41901550671,216.85654617576608,0.1000280896433934,207136.24107603147,0.10002363119992858,4356.883224815838,0.10002123055463515,0.10002625333847154,Theano,2016-01
Torque2D,0.1000203334840917,85.67521953194931,832.7506408704794,8582.967103561177,857.1877208648929,4525.914871518549,38822.371328509646,6613.347551306025,8890.5855204591,0.10002299582963531,Torque2D,2016-01
Torque3D,16.36279914248342,0.10002827107392682,7076.065533556356,42401.93166079292,643.7072147243543,7925.524956901522,1047540.7630212915,9548.020947125207,64.42380970466284,0.10002769437766158,Torque3D,2016-01
adarkroom,23.30789726045414,0.10002051218518866,17676.973489471173,0.10002696072084964,0.10001800737502879,1609.1321408461981,8081.980792803858,36.455547626969704,0.10001720092019661,3548.750049258421,adarkroom,2016-01
arbor,3817.0652002199513,200.729404159877,3220.1679114011094,413.9822535643942,0.10002877316434264,0.10002926563471476,1634.6044892810269,0.1000285886465426,0.10002173452440488,445.05063300210594,arbor,2016-01
atom,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,atom,2016-01
brackets,1739.9134954094845,114.45015487767635,684040.866015988,65.20619432302453,27517.67855188235,0.10002333545402498,0.10002811217681892,9014.589887532737,199.67178169889803,22472.42386641859,brackets,2016-01
brain,0.10002593651850748,25.96891749710642,155.03756924214,0.10003028368766456,0.10002439219045803,1120.7569008409166,0.10002126154540061,55.73589750721728,0.10001322538370548,124.00059981235584,brain,2016-01
caffe,42.81869737398009,0.10002379878062878,2683.4829257039396,2869.841285084805,0.10002828176890399,68245.78518774359,0.10002757759296728,0.1000272887633614,38.582490065332685,1282.0893070379482,caffe,2016-01
cakephp,0.1000257228966008,0.10002950701116595,1131.0363322203737,0.10002724583605058,1246.5390231116198,0.10002584102891235,0.10002738076288463,261287.87737375504,0.1000287961177235,1128.9471062897746,cakephp,2016-01
cesium,22242.30558733132,719.09288028789,3635.5609904033067,1.9528924671214534,3.512390473347293,0.1000279004193075,28082.13620845108,0.1000249777772924,247.3314488292965,682606.9075484009,cesium,2016-01
chartist-js,14594.234161421728,0.1000251197159463,1535.4677332461044,0.10002613229399146,336.25443334998994,110.27097592160928,196.62054268221726,193.8092734570855,0.10001877627227569,1767.0428098767984,chartist,2016-01
chroma.js,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,chroma.js,2016-01
clumsy-bird,3151.9470340527573,129.04063451974406,880.1501404434575,115.5022756083824,0.10002689268493897,3.371420652316599,5273.771365553364,0.10002221773580826,206.35366189812942,1060.6634181532477,clumsy,2016-01
cocos2d-x,0.10002783922661469,211.71432803181693,0.10002808502270133,13.19739834288795,0.10002799847532874,0.1000276629942999,406.37939472474676,0.10002789956758647,1227884.1087103745,0.10002837986137471,cocos2d,2016-01
codebox,0.10002430460908555,0.10002412360904261,2308.876375314046,38.245344043090846,271.4063402525954,114.54811593359321,0.10002530596667439,1065.5210779390102,354.0026477961214,0.10002498436677357,codebox,2016-01
convnetjs,3243.633971256173,0.1000297789351323,5294.604390183283,0.10003039374025746,28.947706543646106,4176.235383581033,320.9189430956763,0.10002624887165684,0.10005369091272415,1119.25946521662,convnetjs,2016-01
d3,40295.11712375124,0.10001359718681777,0.10002433071511445,0.10002597957061243,0.10002961446969615,317.938486477052,0.10002436696532728,181.06355110408953,0.10003461139839682,18651.280686128146,d3,2016-01
datumbox-framework,12.123715043066188,0.10013591170597233,112.75779032768612,0.10002317024738161,19422.702714442356,46876.353844528785,21.190983024235244,1831.4707401402648,0.10002334648732593,0.10002996673849374,datumbox,2016-01
dc.js,82789.75815944282,0.10002528983620655,182.2113520589964,495.4068327547528,362.22982684152004,0.10002803925918281,0.10002724415327938,1447.6628758691759,0.1000223159452165,3789.3308500881753,dc.js,2016-01
derby,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,derby,2016-01
dimple,269550.09985188383,0.10002951080880824,0.10001481501884342,0.10001266357911649,0.10001647343338255,0.10001659908114516,0.10001528369866448,0.10001546222893612,0.10001013317861335,0.10001711823181589,dimple,2016-01
django,3.215853344969105,0.10003480349898994,272.6093106139327,0.1000288238444019,9.164005876436777,2581.7686411312006,0.10002504370346457,345268.2883791304,0.10002204195501131,112602.55369885128,django,2016-01
duality,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,duality,2016-01
echarts,244881.1826787446,293.5284395639846,2617.878429351902,0.10002849801145236,1436.648289705384,1807.4796964628883,5475.855542086878,2672.159312456162,1514.1943997229314,784.9731832327303,echarts,2016-01
envisionjs,118515.29208000217,273.20536691318256,32379.0319889366,0.10002759060714468,71.12188185288285,0.10002295536194185,0.10002723056719542,1251.511708782226,43.07909299707901,4470.457802636719,envisionjs,2016-01
epoch,3365.354701161718,135.07492741343478,771.3410230611039,0.10001577261737718,0.10001245838546362,542.0164781741643,748.7127700620835,0.10002156905817457,0.10002417067962517,0.10002615313591921,epoch,2016-01
express,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,express,2016-01
flask,0.10001909597060019,0.10003038071946091,3237.379431160882,245.1293907753418,1608.8256208374328,0.10002214035161026,0.1000214975559147,9844.06541629649,0.10002207586446189,0.10002572722118398,flask,2016-01
frappe,0.10002428899178537,0.10003205287061091,13015.92244319261,1740.3339727304776,467.6960568812507,0.10002055082750766,0.10002379556174623,53837.44738237876,0.1000200535651857,0.100024034935486,frappe,2016-01
godot,0.10002802851505731,2503.3943903812647,0.10002560986055216,652483.8963131565,0.10002829806478782,9043.661442733215,10.569316627785643,0.10002752771858484,414.9783988014913,0.10002842060780259,godot,2016-01
golearn,3858.6953319429385,0.10002224474432042,623.5017212405079,1230.965855799807,151.65518751880563,11067.281273587954,0.10002886687995459,265.5005242728434,0.10002559021409699,0.10002892452902756,golearn,2016-01
h2o-2,317.3470472126855,0.1000289118685083,27530.819276010414,8664.047532466066,13987.456232689316,119697.80863113509,189.30058009656398,17925.25676505617,88.2307964164371,164.63310984429413,h2o,2016-01
hextris,2001.6111611234664,25.215603440604184,4069.167428203627,0.10002303984880279,0.10002955732298874,0.10002971143273934,1008.0868973087468,39.41877999341267,0.10002094478998151,0.10002667212606896,hextris,2016-01
jmonkeyengine,41.75382774220394,389.7050110014966,0.10002196956848987,143632.4846670793,29581.165212859414,1787.830265703679,319510.9852785102,0.10002616544959385,0.10002119051474667,3803.775667492942,jmonkeyengine,2016-01
jubatus,0.10002210406431213,0.10000616944130117,1121.994490629529,4342.984665496428,2904.2768030441725,7459.494650255963,0.10002607099942645,5470.615177261243,115.23413643359217,0.10002252169830053,jubatus,2016-01
kartograph.js,9986.346478338146,74.33253120192941,3645.528086656209,556.2440263786408,73.43710862494451,953.6405194341238,648.974000499975,0.1000274515363056,0.10002712474403166,229.29719427729395,kartograph.js,2016-01
keras,121.31514219267974,0.10000609195585387,356.1006566291889,0.10001867124797043,0.10002527496898346,33324.83782104723,0.10002075772356739,86.14626875327784,0.1000151321579458,0.10002542884114377,keras,2016-01
laravel,0.10002854295111668,29.26326885807257,2287.0527099209835,276.75783464236474,171.25629417774292,0.1000269668066051,0.10002822259433729,4731.162100778252,0.1000155738268094,12.107692309615372,laravel,2016-01
