,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15,topic16,topic17,topic18,topic19,project,date
symfony-tags_2014-06,0.0500000010399337,0.050000000000000044,0.05000000000001008,0.05000000083632926,0.05000000000105004,0.050000001009887676,0.05000000114912023,112572.04999992899,0.050000001083505434,0.050000001056282994,0.05000000105517005,0.050000000000009835,0.05000000000000602,0.0500000009107678,0.05000000087409746,0.05000000000002631,0.05000000000002141,0.05000000096880676,0.0500000008751502,0.05000000000000019,symfony,2014-06
symfony-tags_2012-01,0.05000000104680604,0.05000000000000005,0.05000000000002234,0.050000000517210944,0.05000000000105441,0.05000000108607123,0.050000001145114985,79716.04994166235,0.050058287649706754,0.05000000114160518,0.05000000099517209,0.050000000000009634,0.0500000000000106,0.05000000080686189,0.05000000065099368,0.05000000000002716,0.050000000000022006,0.05000000089559873,0.05000000089583582,0.050000000000000155,symfony,2012-01
symfony-tags_2016-01,0.050000001093732066,0.05000000000000005,0.050000000000009995,52.76988281862629,0.05000000000102583,0.05000000108083756,0.05000000278750622,115941.3301170984,0.050000001153911525,0.05000000115695604,0.05000000111501402,0.05000000000000973,0.05000000000000591,0.05000000096094299,0.05000000086923656,0.05000000000002608,0.05000000000002132,0.05000000103317198,0.05000000105408128,0.05000000000000019,symfony,2016-01
symfony-tags_2013-06,0.050000000981116975,0.050000000000000044,0.05000000000001046,0.05000000060808733,0.050000000001003464,0.05000000095772439,0.05000000148988656,98688.04999993715,0.05000000100556023,0.05000000099884017,0.05000000096670892,0.05000000000000914,0.050000000000005075,0.05000000084191091,0.05000000078502139,0.05000000000002526,0.05000000000001952,0.050000000899506826,0.050000000791146755,0.05000000000000016,symfony,2013-06
symfony-tags_2014-01,0.050000001014812875,0.050000000000000044,0.050000000000009905,0.05000000078580385,0.050000000001033065,0.050000000991513804,0.0500000011710956,112519.0499999306,0.05000000106832934,0.05000000098847614,0.05000000103958774,0.050000000000009835,0.050000000000006026,0.050000000892902824,0.05000000085494652,0.05000000000002631,0.05000000000002144,0.050000000945339566,0.05000000087038513,0.05000000000000019,symfony,2014-01
symfony-tags_2010-06,0.05000000124108769,0.05000000000000006,0.05000000000001208,0.05000000045041312,0.05000000000124699,0.05000000103333591,274.87092164133855,34784.42042173462,460.5716983126125,479.33695827080015,0.050000001051302145,0.05000000000000964,0.050000000000005436,0.05000000113878327,0.050000001088937776,0.050000000000026454,0.050000000000020035,0.05000000117157941,0.050000000851185215,0.05000000000000016,symfony,2010-06
symfony-tags_2011-06,0.050000001307509194,0.05000000000000005,0.05000000000001427,54.77522474530248,0.05000000000097434,0.05000000107816683,96.18941877865238,77384.62264594038,24.612710482186458,0.05000000127502965,0.05000000103155568,0.05000000000000976,0.05000000000000719,0.050000000865516495,0.05000000064941813,0.05000000000002789,0.050000000000022325,0.05000000095765905,0.05000000106826093,0.05000000000000014,symfony,2011-06
symfony-tags_2012-06,0.050000000968975375,0.050000000000000044,0.05000000000001062,0.05000000060237288,0.05000000000099842,0.0500000009403627,0.0500000017670622,92197.04999994182,0.050000000993594994,0.05000000097659278,0.05000000093064374,0.05000000000000955,0.05000000000000521,0.05000000086388889,0.0500000008285397,0.0500000000000266,0.05000000000002057,0.0500000008277666,0.05000000077013376,0.05000000000000016,symfony,2012-06
symfony-tags_2015-01,0.05000000102229841,0.05000000000000005,0.05000000000001002,49.533423524152454,0.050000000001027896,0.050000001057246536,0.050000001289940685,115387.56657639884,0.05000000113876053,0.05000000114557053,0.050000001088202135,0.05000000000000969,0.05000000000000592,0.050000000943402755,0.0500000008716769,0.05000000000002594,0.05000000000002134,0.050000001010354914,0.05000000102780871,0.05000000000000018,symfony,2015-01
symfony-tags_2015-06,0.05000000124867935,0.05000000000000006,0.050000000000008836,115.30387960788379,0.050000000000942436,11.548682293086765,45.36035220075613,145584.89966559035,0.05000000122294806,0.050000001291281716,46.95326428403823,0.05000000000000911,0.05000000000000423,0.050000001237050805,0.050000001189274494,0.050000000000027016,0.050000000000017,14.234155894376736,0.05000000109338301,0.050000000000000225,symfony,2015-06
