,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,project,date
frappe-tags_2014-06,22.004424080557186,4994.195541937961,0.10000000316218859,0.10000000319009428,0.10000000310272023,0.10000000316791097,0.1000231360701142,0.10001082441322214,0.10000000314544352,0.10000000319815455,frappe,2014-06
frappe-tags_2012-01,39.75633200525847,2391.914454742279,0.10000000498352979,0.10000000501540274,0.10000000490508318,0.10000000499075486,103.6291968757374,0.10001634518308161,0.10000000497575776,0.10000000503505481,frappe,2012-01
frappe-tags_2016-01,59.03262650425056,9818.167329605056,0.10000000383984757,0.10000000388391665,0.10000000373251325,0.10000000380479873,0.10002643172595078,0.10001743122518582,0.10000000380064708,0.10000000385421662,frappe,2016-01
frappe-tags_2013-06,0.10001873912908839,4592.099961560722,0.10000000247212787,0.10000000248558227,0.10000000242543157,0.10000000247106174,0.10001273878588428,0.10000694509106892,0.10000000245715662,0.10000000249404148,frappe,2013-06
frappe-tags_2014-01,0.10001462905785002,4429.09996160211,0.10000000261288151,0.10000000262910778,0.10000000256554024,0.10000000261707405,0.10001649867399079,0.10000725299685566,0.10000000259995166,0.10000000263962733,frappe,2014-01
frappe-tags_2012-06,0.10001342366208957,2436.0999651741167,0.10000000196286167,0.10000000197400363,0.10000000191280745,0.1000000019628499,0.10001462202533846,0.10000676782718414,0.10000000195552089,0.10000000198967739,frappe,2012-06
frappe-tags_2015-01,25.403637000290757,8551.796334670484,0.10000000308588358,0.10000000310429366,0.10000000301507737,0.10000000307153295,0.1000175131954575,0.10001079419880661,0.1000000030588793,0.10000000310346216,frappe,2015-01
frappe-tags_2015-06,33.6964219119677,9066.50354088785,0.10000000318132428,0.100000003222342,0.1000000030843578,0.10000000314245763,0.1000235091403938,0.10001366840534481,0.10000000313853864,0.10000000317989967,frappe,2015-06
frappe-tags_2013-01,0.10001203835331177,4269.099970443458,0.10000000198272532,0.10000000199271468,0.10000000193987273,0.10000000198417691,0.10001215107369112,0.10000535415378242,0.10000000196796474,0.10000000200261538,frappe,2013-01
web2py-tags_2014-06,0.10001850155745004,0.10002177201835741,0.10000000654648389,0.10000000659805663,0.10000000644188206,0.1000000065268578,42595.09993480364,0.1000248474196495,0.10000000654899342,0.10000000662512032,web2py,2014-06
web2py-tags_2012-01,0.10001729015062882,0.1000198647177255,0.10000000533418982,0.10000000538259521,0.10000000524091172,0.10000000531903103,29097.099936644245,0.1000261488478634,0.10000000532773404,0.10000000541349059,web2py,2012-01
web2py-tags_2016-01,0.1000511738679823,0.10002413590840514,0.10000000700080072,0.10000000704819988,0.10000000689906698,0.10000000698004029,41113.0999013026,0.10002330828928802,0.1000000069913222,0.1000000070746879,web2py,2016-01
web2py-tags_2013-06,0.10002117124796274,0.10002345001091172,0.10000000668122754,0.10000000673328424,0.10000000657411269,0.1000000066609823,41073.09992911803,0.10002618510720225,0.10000000668365847,0.10000000676168316,web2py,2013-06
web2py-tags_2014-01,0.10001782913948207,0.10002175921816663,0.10000000656952165,0.10000000662123244,0.10000000646435643,0.10000000654964193,41644.09993535649,0.10002498032177126,0.10000000657240436,0.10000000664858084,web2py,2014-01
web2py-tags_2012-06,0.10001731841852596,0.10001983876172228,0.10000000529158534,0.10000000534549974,0.10000000518729199,0.1000000052723045,31484.09993859897,0.10002419066913663,0.100000005295603,0.10000000537245093,web2py,2012-06
web2py-tags_2015-01,0.10001868021947434,0.10002231420825937,0.10000000660969086,0.10000000666406895,0.10000000649704877,0.10000000658730299,43443.099925782815,0.10003314600419985,0.10000000661763496,0.10000000669438075,web2py,2015-01
web2py-tags_2015-06,0.10002876658042102,0.1000237252218733,0.1000000069325682,0.10000000697911254,0.10000000683317438,0.10000000691385168,40868.09992115092,0.10002627892476376,0.10000000692438753,0.10000000700822424,web2py,2015-06
web2py-tags_2013-01,0.10002066236747484,0.10002142636720955,0.10000000509804191,0.10000000515183143,0.10000000498969827,0.10000000507684374,35591.09993289062,0.10002496678774883,0.10000000510076411,0.10000000517860744,web2py,2013-01
django-tags_2014-06,0.1000258727780776,0.10002528608468372,0.10000000767340783,0.10000000773324771,0.1000000075402476,0.10000000763005687,0.10002806456227104,88156.09992064309,0.10000000766928359,0.10000000774950062,django,2014-06
django-tags_2012-01,0.10001657922189361,0.1000727703573152,0.10000000998921639,0.10000001004389951,0.10000000987142509,0.10000000996433653,2.1400953574401127,76106.05981513394,0.10000001000128249,0.10000001008451855,django,2012-01
django-tags_2006-06,0.10001220780696476,10411.387529625903,0.10000000643209428,0.1000000064923501,0.10000000630319807,0.10000000639101242,0.10002658729100541,286.8124315315502,0.1000000064405454,0.10000000653856166,django,2006-06
django-tags_2016-01,0.10002813936051576,0.10002567246246447,0.10000000800889933,0.10000000807335702,0.10000000787010674,0.10000000795752687,8.463961986659582,104901.7359840448,0.10000000799626589,0.10000000807571731,django,2016-01
django-tags_2013-06,0.10001885849539081,0.10002702996188767,0.10000000834149217,0.10000000839504668,0.10000000821671326,0.10000000830937916,0.10003188494509994,78784.09992209132,0.10000000834481437,0.10000000842700385,django,2013-06
django-tags_2014-01,0.10002624042134943,0.10002696281528402,0.10000000802172539,0.10000000808147382,0.10000000789089497,0.10000000798302608,0.10002935590242217,86213.09991730322,0.10000000801949006,0.10000000810381993,django,2014-01
django-tags_2010-06,0.10001122829937092,343.85558743577565,0.10000001068724382,0.10000001074078026,0.1000000105744007,0.10000001066380113,0.10002805636503341,58954.34437313262,0.10000001070876127,0.10000001078879756,django,2010-06
django-tags_2009-06,0.10001082501086717,2601.4188788123292,0.10000001105976804,0.10000001111617056,0.10000001095108002,0.10000001103997867,0.10002794921905259,47547.78108227452,0.10000001108614118,0.10000001116598814,django,2009-06
django-tags_2009-01,0.10000734343948048,4486.7570411506385,0.10000001137683641,0.10000001143467079,0.10000001127083513,0.10000001135810843,0.10002707779476021,38776.442924295385,0.1000000114085016,0.10000001148599118,django,2009-01
django-tags_2011-06,0.10001392766964703,1.2064517034184605,0.1000000100504757,0.10000001010615502,0.10000000993420322,0.10000001002595389,0.10002854136878583,70129.99350567529,0.1000000100670727,0.10000001014895019,django,2011-06
django-tags_2012-06,0.100015469154109,0.10002837779263674,0.10000000978627106,0.10000000984036943,0.10000000966888316,0.1000000097612715,0.10003707447446436,77598.0999189209,0.10000000979759312,0.10000000987943715,django,2012-06
django-tags_2008-01,0.10000984698755684,21335.734047474176,0.10000001260468332,0.10000001266051595,0.10000001249849173,0.10000001257814996,0.10002574891516897,3249.4659168136163,0.10000001262314083,0.10000001271307156,django,2008-01
django-tags_2007-06,0.10001156558452523,18851.67060314699,0.10000000927987195,0.10000000933665214,0.1000000091582186,0.10000000924202479,0.10002567689224968,780.5293595311238,0.10000000929077424,0.1000000093847745,django,2007-06
django-tags_2006-01,0.10002282443265931,8415.303058515112,0.1000000067496172,0.10000000681389172,0.10000000663610961,0.10000000672598748,0.10002708554020175,116.89689152692266,0.10000000676666826,0.1000000068602998,django,2006-01
django-tags_2008-06,0.10000928878176243,19897.49671162654,0.10000001371684145,0.10000001377374983,0.10000001361639985,0.10000001369720937,0.10002794898905545,6258.7032510062145,0.10000001373682214,0.10000001382907765,django,2008-06
