,word0,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,word16,word17,word18,word19,word20,word21,word22,word23,word24,word25,word26,word27,word28,word29,word30,word31,word32,word33,word34,word35,word36,word37,word38,word39,word40,word41,word42,word43,word44,word45,word46,word47,word48,word49
topic#0,1058.9110135136057,1009.3626310567165,707.271712893539,647.2513088478597,564.1673340266314,560.1396216609105,533.6668553893132,530.0038253236075,476.5385283809915,423.0908423135084,420.29506499458097,417.8871101839942,416.40279978252244,394.38484142505985,391.3876813536275,387.5765780938732,385.5602409826436,374.07994039054324,370.9939520865076,366.79263408944104,362.66206894186865,358.29845367440885,344.00917003267585,341.12243566958074,337.89707843741024,333.243598060713,327.0613028817796,321.08676451194395,304.7384769325519,298.18099881390646,292.83265132805167,291.94850713355146,288.5756796130513,288.3600191822903,286.82820328870804,285.4784398378969,284.22689314317864,280.17484650687004,277.8854781566773,277.01459282193235,267.5186172045094,261.2748728349771,259.26171525020766,258.79216824463543,247.90042568156593,243.5736267170859,235.84858015513012,235.07814103869057,231.2270448314248,230.75793932195566
topic#1,1980.6417901629188,1121.1549374195422,884.5969169754096,600.7958143166742,586.1144581967473,552.9985083524324,546.6342465824114,545.0526553862218,543.4114514669309,539.955337185167,518.5329122748852,463.75293169164684,419.7867271092127,415.6560301205467,413.04149047402774,411.76107004683087,395.14546934667004,394.59288245212343,371.1718351146736,371.13956704168385,362.9443525008042,360.3024561727461,359.59554484865754,357.3860331091753,350.25687854459716,347.5311565946759,342.0414986369787,339.3271787905393,332.73069080925154,332.24637524619834,324.216187317569,315.70909440800443,298.29384432488416,293.64277421875533,293.2146097974981,292.100488357489,290.15932395769494,282.26845144366416,273.11834453566064,261.78128474472686,260.87151363865775,252.24303528376478,250.75380672512773,249.54835808202932,249.4673842491903,235.7651762443942,235.09410648854976,234.3299721715329,226.37280906547772,225.85527516804487
topic#2,62262.31336298165,4522.665468730372,1163.912232323623,1139.7314051869168,939.0098884624741,808.1868469518334,744.4480246514485,692.1598722741688,562.3711187452325,524.762014901417,498.3631774695552,458.01358431830545,450.5933854039442,446.83514503438266,439.21280023838904,419.1044339483907,361.3470193159531,356.23653037260283,296.0510871182399,251.09531330552616,250.89594357184149,229.16189869075635,218.83353854171384,218.01927327862046,206.6068380899697,168.15568446422336,130.8109227539749,129.78307450006858,127.11841422703179,118.07313954642875,113.62525403177389,112.70112901675816,107.97751644043336,95.32811494732218,92.55436180764397,71.69677718583989,69.85100714408937,59.84996963729638,59.828285364627234,53.4187741814288,48.100781664395704,47.70322842710909,46.98406294597405,34.50849404915207,32.87905771039004,32.19130125966806,24.306221617858423,22.702108793344113,17.95932864993155,17.15820458864611
topic#3,1181.0084696602516,1157.4180596407643,795.1340668139542,785.6989318426031,773.4791022815491,743.6880717137118,701.8546463904129,695.0529830878917,685.0133609471623,650.7802939055105,587.8205336054322,551.8761797934827,547.6390485618008,474.9755811042625,468.6178541909679,463.92027931359706,455.46170815406816,451.8262737302623,427.5713361457735,417.2406286871425,406.9881055021897,400.3353917427964,365.06263888324,351.1124442723631,348.84643199210853,343.85012183255094,341.4277653730162,295.2634184512252,293.3963547211557,281.42461055035324,279.54618153995034,278.69909402857655,278.56583015650256,274.53728929747615,273.3391073212213,268.3776859174079,263.44454030052094,253.9057273421837,252.74437743187804,250.35716329773862,246.83028264325478,246.02098480853425,241.037767218378,237.4184687050346,230.60211334249001,221.68395713185484,219.72209922221228,219.67005447389408,216.13173799592929,215.8973884243807
topic#4,1101.708914165054,794.3742495326874,642.4271620568292,623.6548341753772,620.5182258655658,483.4757561651979,475.3529028351765,464.02563498345165,462.9919858468849,443.49493484786865,425.73095478017126,398.72727645311727,383.4757260101322,358.62368517821506,355.8726228136922,348.09609663315126,346.19162670435486,340.0345356082971,329.99756277711157,328.110641001812,327.68998345223173,327.4143145623388,326.84735806657517,320.58192587830837,315.31959692850694,311.68431857227057,309.13264421796816,306.12961436739914,305.9939061631277,304.6675363622821,304.4476790967159,277.88177593127807,275.166797129463,273.047482240762,271.7085841130676,271.3153383434573,260.5756353172647,253.11247501525887,252.96185533576184,251.63757555400812,248.4920741893262,248.06265420129722,247.05573171355087,243.99659602741045,242.4507045099986,237.14471878857196,236.7052198059632,234.9250803851866,234.15902929629513,233.46283137001066
topic#5,1229.4909030124484,1089.7121355057586,1014.6266042145985,972.1281612940098,781.2095342410247,700.0105264436114,672.2163818029578,653.0599902422139,542.3076579843803,536.9586397982126,530.2608099994396,523.1224326998126,517.0385697459295,485.51521908790653,475.7607643236845,452.0617024811464,448.5391708787993,411.8100298753614,401.06281182877007,396.7248260053961,393.5234969041805,376.2603080087218,374.7657822685391,370.29195686576696,363.8522813403374,354.0174896391113,353.52033386385,337.72910696836334,336.28882981106403,335.4631271905314,333.92598719775293,331.777604340604,323.8275998948204,318.62483949586067,312.6145006747299,309.8963995721544,309.3279063311322,301.1341040664974,299.67693372264887,297.6609207137041,297.0319669328454,295.14359460072785,295.1025557528859,292.66187923069907,276.24164740624127,274.28000192045374,262.9320107366295,260.7586994848965,256.9596183824775,255.83056499672676
topic#6,1887.227894602188,1212.889045268394,1014.1135820142772,794.8962746559417,593.6061278851986,544.7977994447383,492.80913293248045,488.5841449487739,471.91165153752996,471.00221884281035,425.4601980509844,414.8172186527248,407.7791638738301,406.19518729261796,403.54952167480155,402.15129862485645,400.0941417965267,391.371729506164,379.4586109221697,372.44880334023475,356.79170028976006,355.52254607524566,347.3982009434176,342.2183826667274,341.1047434837392,333.02267697859395,313.13528260873983,312.3434164619399,308.3121342819794,307.7324651415578,289.65735468196726,278.94535228837987,276.1047042745042,264.5594019240439,260.29867489422435,254.5071509688957,250.9291866765589,247.22390735092463,246.62326546415602,228.41066315603106,228.22232057907672,219.49795647399006,215.24775246861168,214.13937034956697,213.85994241393695,212.1256806065887,212.08477630039715,208.8049812329641,206.51685867674527,206.30212778789
topic#7,2422.606320368406,2337.7810474627245,2216.8838998028855,1723.9100276548215,1543.8054180625127,1534.7990202552037,1333.3608992171064,1250.0921596790636,1045.6008533147149,1023.7412841275886,951.1941445438806,933.490457534116,873.8626697560462,843.6980709654619,798.3815906432282,792.6169528192546,760.4580406720198,754.764470475882,732.6517672188495,731.3237865192374,703.6831012409435,686.4300026378583,684.3139050320201,659.7931167189776,650.2317785033575,649.0639144510185,639.0396793833236,634.370491158363,630.456101587463,573.9908836001773,573.3997353072685,560.4549522749872,556.4286251308087,554.4958111240292,545.6234953920706,539.3977929606269,521.577479493569,520.5068954039102,496.1926362142514,464.95377243863675,462.9817318456825,445.45190830526155,444.2582471911222,435.699356944869,434.4796556184282,429.9780094041264,424.65909447837333,409.9292813310308,406.3580626891154,403.4300919968864
topic#8,799.1418684794282,725.8466854397494,712.9589039383379,672.2839467045277,614.6764498391884,524.4188326832588,514.9364359114866,488.7060947196594,477.8770113267483,429.15820611425755,424.1048470162335,410.3045677441986,397.1550866640775,375.12842623762066,367.5940515089282,364.88750248890284,341.8018175628991,322.4044742282543,321.3131464603469,309.4584460277308,305.21647753759225,296.8452298903393,291.4192158517774,279.57861720325945,271.87428800871,270.53931171729664,255.29281048426597,255.18691324341825,247.76435252965777,244.44848644307393,242.10403180585257,240.21922117277038,238.26748280607515,229.83886006770103,224.37880479577163,221.58678184683498,214.5765590307372,210.41700944109758,210.14317649160716,208.3874832901469,207.35577243198907,201.3990175648977,200.94856502460456,193.45345916267502,181.69032264481766,179.39633023658922,177.65220681494728,175.08390320512933,173.26931537119182,171.38095477048643
topic#9,1625.5888560134813,1227.6712552784504,1010.8368204012276,949.7728080355868,752.2967942486835,740.769263238023,656.5445420197861,637.6646758494277,609.5799246286781,560.6577546434394,560.3855355549375,541.90163483823,526.5273962406951,510.5449180199641,509.641083879249,508.2071571604149,491.6374159187989,486.8096176649565,442.9652510672009,442.1584405137396,415.70393946756974,412.63801523356517,411.47412393775346,408.0505929910364,393.89709647376856,389.7192709473437,384.83227780178066,379.61698458182394,367.5753968162295,365.47835560680744,364.80003156481706,357.9468387178375,352.6900886181109,345.2630089025943,339.94159761213785,329.5741733319818,328.282917435264,323.9629671022148,322.39605887990143,319.9871705628765,317.08258242174554,306.7273371378644,302.55606743778384,300.3136501170384,297.23286222794167,293.27013616169046,289.74996491678326,287.2314206091913,283.83221049308065,281.8796378072823
