index,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15,topic16,topic17,topic18,topic19,topic20,topic21,topic22,topic23,topic24,topic25,topic26,topic27,topic28,topic29,topic30,topic31,topic32,topic33,topic34,topic35,topic36,topic37,topic38,topic39,topic40,topic41,topic42,topic43,topic44,topic45,topic46,topic47,topic48,topic49,project,date
GamePlay,79.08345225658758,0.02,0.02,0.02,0.02,48.55754860301092,403.35636636507314,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,80947.09117557472,0.02,0.02,0.02,0.02,64.0114571739719,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,GamePlay,2016-01
KomodoEdit,0.02,0.02,0.02,0.02,66.747927794968,2.8443153300650486,310.93051279637564,0.02,0.02,193.44432632471293,0.02,442.67208813889897,388.0738381219836,0.02,0.02,0.02,0.02,0.02,345.38290984674,0.02,0.02,0.02,0.02,18.572548118234597,221893.58785109257,0.02,0.02,0.02,0.02,0.02,0.02,0.02,167.09083431373688,0.02,0.02,0.02,166.01139881531645,1157.0076300930739,0.02,130.4055233253712,1.6751015294013505,0.02,716.6948765615857,0.02,174.17831768831286,0.02,0.02,0.02,0.02,0.02,KomodoEdit,2016-01
Leaflet,0.02,0.02,0.02,0.02,0.02,3.546115558379801,0.02,0.02,0.02,71.32789701466956,0.02,31.48713471455685,9560.32265168632,0.02,47.073812926442294,0.02,0.02,0.02,73.59538918789573,0.02,0.02,0.02,65.97037941418498,48.79029961778025,82.27756667477871,0.02,0.02,0.02,0.02,7.597164396055854,0.02,374.1234517955534,0.02,0.02,0.02,0.02,151.54628957160344,0.02,0.02,0.02,0.02,1191.601847434802,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,Leaflet,2016-01
LightTable,0.02,0.02,0.02,0.02,22.758243423275363,18.36839520287113,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,7.205728584047577,0.02,0.02,0.02,18.417781784675395,0.02,0.02,0.02,6.56489956166395,0.02,12.599509764177625,0.02,0.02,0.02,0.02,1.2254416792475384,0.02,0.02,LightTable,2016-01
MLPNeuralNet,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,20.100598985188448,0.02,38.65315597448866,0.02,0.02,0.02,0.02,203.70241443964622,0.02,0.02,0.02,165.6824860582364,0.02,0.02,0.02,0.02,0.02,0.02,4.634518915494951,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,89.09714454405429,11.26968108264228,0.02,MLPNeuralNet,2016-01
ML_for_Hackers,0.02,664.5084792157602,0.02,249.17753720773595,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,36.330957431715206,0.02,0.02,0.02,0.02,0.02,0.02,0.02,500.50357869148945,0.02,0.02,0.02,93.7326980314037,0.02,0.02,0.02,0.02,0.02,0.02,53.97113989264461,299.6318381323411,0.02,0.02,0.02,0.02,0.02,0.02,285.62537381848273,64.95527190826948,0.02,0.02,337.7631256688742,0.02,ML,2016-01
MonoGame,149252.14361392063,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,2448.7205386756796,0.02,0.02,0.02,0.02,11.248075325669088,8.447714619524199,0.02,0.02,0.02,0.02,0.02,2939.5400573905176,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,MonoGame,2016-01
OpenRA,1896.1781956597654,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,86582.55406212935,0.02,0.02,0.02,0.02,196.36800632968146,164.59931878809212,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,129.72292643478534,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,791.6974906235,0.02,0.02,0.02,0.02,OpenRA,2016-01
PredictionIO,113.21085282274463,4099.044700517271,0.02,0.02,78.50433851758108,0.02,0.02,0.02,0.02,0.02,0.02,0.02,13.206928459461679,0.02,0.02,0.02,0.02,0.02,1700.5446168832477,0.02,0.02,0.02,294.04683966395544,0.02,0.02,179.24708370563707,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,323.0848342932082,0.02,0.02,546.197313344714,12747.452885551338,120.93383753663326,0.02,54.361300518605454,0.02,0.02,0.02,475.42446817809054,0.02,0.02,PredictionIO,2016-01
Ruby-warrior,0.02,44.51102880578309,0.02,0.02,0.02,0.02,0.02,0.02,0.02,768.7881831160871,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,182.60439765296536,0.02,0.02,0.02,0.02,370.20839805437356,0.02,0.02,0.02,0.02,0.02,334.96815724535367,0.02,0.02,0.02,0.02,17.03983512470812,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,Ruby,2016-01
