,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15,topic16,topic17,topic18,topic19,project,date
symfony-tags_2014-06,0.05000000000000003,39465.04999997405,0.05000000063133607,0.050000000914680924,0.050000000000000024,0.05000000617748808,0.05000000000000067,0.05000000000000004,0.05000000079171935,0.050000000000000065,0.050000000658959876,0.05000000037007684,0.05000000057090576,0.05000000070437871,0.050000000000000024,0.050000000000000024,0.05000000040569375,0.05000000000000003,0.05000000071921534,0.050000000000000704,symfony,2014-06
symfony-tags_2012-01,0.05000000000000004,26256.049999980205,0.05000000058888759,0.05000000470387107,0.050000000000000024,0.05000000091152628,0.05000000000000082,0.050000000000000044,0.050000000714608854,0.05000000000000006,0.05000000058090034,0.05000000043054292,0.05000000047416129,0.05000000073077301,0.050000000000000024,0.050000000000000024,0.05000000025070984,0.05000000000000004,0.05000000080420711,0.050000000000000724,symfony,2012-01
symfony-tags_2016-01,0.05000000000000004,40381.04999997401,0.050000000723650295,0.050000001034620566,0.050000000000000024,0.05000000196876982,0.05000000000000066,0.050000000000000044,0.05000000094509063,0.050000000000000065,0.05000000071560916,0.05000000090935221,0.05000000063802655,0.050000000817798936,0.050000000000000024,0.050000000000000024,0.050000000412980763,0.05000000000000004,0.05000000075118999,0.05000000000000072,symfony,2016-01
symfony-tags_2013-06,0.05000000000000003,34675.04999998127,0.050000000589745186,0.050000000833093854,0.050000000000000024,0.05000000088020852,0.050000000000000634,0.05000000000000004,0.05000000058873895,0.050000000000000065,0.05000000057938759,0.05000000042603004,0.05000000049588096,0.05000000063139679,0.050000000000000024,0.050000000000000024,0.050000000254702276,0.05000000000000003,0.05000000079756971,0.05000000000000056,symfony,2013-06
symfony-tags_2014-01,0.05000000000000003,39117.04999997979,0.05000000060624787,0.050000000879478076,0.050000000000000024,0.05000000110251164,0.050000000000000676,0.05000000000000004,0.050000000627833135,0.050000000000000065,0.050000000632370104,0.05000000037049207,0.050000000551026456,0.05000000069641122,0.050000000000000024,0.050000000000000024,0.050000000400078584,0.05000000000000003,0.050000000713972766,0.050000000000000704,symfony,2014-01
symfony-tags_2010-06,0.050000000000000044,12262.230213945688,0.050000001057923495,791.3636090496622,0.05000000000000003,54.556176991251775,0.050000000000000495,0.050000000000000044,0.05000000124407334,0.05000000000000006,0.050000000761549326,0.05000000033417996,0.050000000902654766,0.0500000004603433,0.05000000000000003,0.05000000000000003,0.05000000056431411,0.050000000000000044,0.05000000109283565,0.050000000000000655,symfony,2010-06
symfony-tags_2011-06,0.05000000000000004,25178.04999997755,0.05000000082021455,0.05000000149277805,0.05000000000000003,0.050000001146567434,0.05000000000000099,0.050000000000000044,0.05000000165207529,0.050000000000000065,0.05000000085020516,0.050000001483104746,0.05000000062589236,0.050000000812300605,0.050000000000000024,0.05000000000000003,0.05000000030989372,0.050000000000000044,0.050000001912026894,0.05000000000000074,symfony,2011-06
symfony-tags_2012-06,0.05000000000000003,31996.04999998194,0.050000000548905646,0.05000000080653171,0.050000000000000024,0.05000000088672849,0.05000000000000067,0.05000000000000004,0.05000000059149444,0.050000000000000065,0.05000000058470573,0.050000000415932104,0.05000000059873073,0.05000000059020889,0.050000000000000024,0.050000000000000024,0.050000000599449555,0.05000000000000003,0.050000000864456995,0.05000000000000056,symfony,2012-06
symfony-tags_2015-01,0.05000000000000004,40448.04999997665,0.05000000068229303,0.0500000009665738,0.050000000000000024,0.05000000105649294,0.05000000000000066,0.050000000000000044,0.050000000890411775,0.050000000000000065,0.05000000068902487,0.05000000080982195,0.05000000060758416,0.05000000076659132,0.050000000000000024,0.050000000000000024,0.05000000040939626,0.05000000000000004,0.05000000071796419,0.050000000000000704,symfony,2015-01
symfony-tags_2015-06,0.05000000000000005,49726.79619589629,0.050000001203635576,0.0500000011458734,0.05000000000000004,0.050000001342932233,0.05000000000000103,0.050000000000000086,0.050000001341129516,0.050000000000000495,0.050000001185929684,0.05000000097196383,0.05000000116561193,13.30380406132143,0.05000000000000004,0.05000000000000004,0.05000000122800372,0.05000000000000005,0.05000000100164038,0.050000000000021,symfony,2015-06
symfony-tags_2011-01,0.05000000000000004,17841.049999978062,0.050000000731394455,0.05000000705799773,0.050000000000000024,0.05000000113229352,0.05000000000000083,0.05000000000000005,0.050000000842354196,0.050000000000000065,0.05000000069901758,0.050000000858346716,0.050000000538546134,0.0500000010037425,0.050000000000000024,0.05000000000000003,0.0500000003394653,0.050000000000000044,0.05000000091628155,0.050000000000000835,symfony,2011-01
symfony-tags_2013-01,0.05000000000000003,34107.049999981624,0.05000000058061344,0.050000000832785614,0.050000000000000024,0.05000000090776216,0.05000000000000064,0.05000000000000004,0.05000000058828505,0.050000000000000065,0.05000000056988319,0.050000000384413566,0.050000000494669065,0.0500000006284726,0.050000000000000024,0.050000000000000024,0.05000000025453444,0.05000000000000003,0.05000000080468266,0.05000000000000056,symfony,2013-01
rails-tags_2014-06,0.050000000000000044,0.05000000104814055,0.050000000927055054,0.050000000806348734,0.05000000000000003,0.05000000080794146,0.05000000000000079,0.05000000000000006,0.05000000062639983,0.050000000000000246,0.05000000081198268,0.05000000062620554,0.05000000074983474,50147.04999994179,0.05000000000000003,0.05000000000000003,0.05000000060246095,0.05000000000000004,0.050000026247018645,0.05000000000000946,rails,2014-06
rails-tags_2012-01,0.050000000000000044,0.05000000104664969,0.050000000863943544,0.05000000075805661,0.05000000000000003,0.050000000667174166,0.05000000000000095,0.05000000000000006,0.05000000066302558,0.050000000000000266,0.050000000770214506,0.050000000645623696,0.05000000082132405,41640.04999997239,0.050000000000000024,0.05000000000000003,0.05000000055128141,0.05000000000000004,0.05000000112722603,0.050000000000009905,rails,2012-01
rails-tags_2006-06,0.05000000000000006,0.05000000111968443,0.05000000073165518,0.0500000010277001,0.05000000000000004,0.0500000007806692,0.05000000000000029,0.050000000000000086,60.540329306666266,0.05000000000000028,1622.0220843179338,191.87008008037694,0.05000000071854069,15112.76750627671,0.05000000000000004,0.050000000000000044,0.0500000007486451,0.05000000000000005,0.05000000104025303,0.05000000000001036,rails,2006-06
rails-tags_2016-01,0.050000000000000044,0.050000001100982745,0.050000001243901,0.050000000873735094,0.05000000000000003,45.97610777781651,0.050000000000013006,0.050000000000000065,0.050000000821812905,0.050000000000000246,0.05000000120562579,0.0500000008430404,0.050000001152988596,58821.37645740983,0.05000000000000003,0.05000000000000004,0.050000001744934554,0.050000000000000044,262.7974347696874,0.050000000000008996,rails,2016-01
rails-tags_2013-06,0.050000000000000044,0.050000001018311514,0.05000000086317719,0.05000000074375017,0.05000000000000003,0.05000000082565329,0.05000000000000062,0.05000000000000006,0.050000000601881936,0.05000000000000026,0.05000000077713513,0.05000000056729069,0.050000000757747645,45680.04999996947,0.05000000000000003,0.05000000000000003,0.05000000057197705,0.05000000000000004,0.05000000115133109,0.050000000000010106,rails,2013-06
rails-tags_2005-06,0.050000000000000065,0.05000000119298365,0.05000000067466698,0.05000000084417008,0.050000000000000044,0.050000000845446875,0.05000000000000024,0.050000000000000086,14.758715075364753,0.050000000000000315,1260.8297125002184,27.849036249376073,0.05000000067229619,8900.762536161134,0.05000000000000004,0.050000000000000044,0.05000000084094126,0.05000000000000006,0.05000000107195168,0.05000000000001221,rails,2005-06
rails-tags_2014-01,0.050000000000000044,0.050000001009737394,0.05000000090894482,0.0500000007588379,0.05000000000000003,0.05000000081680225,0.05000000000000062,0.05000000000000006,0.050000000614740636,0.05000000000000025,0.050000000800017264,0.050000000603112535,0.05000000070431051,47386.04999994531,0.05000000000000003,0.05000000000000003,0.05000000057484998,0.05000000000000004,0.050000024823150746,0.050000000000009676,rails,2014-01
rails-tags_2010-06,0.050000000000000044,0.050000000981349144,0.05000000102359652,0.050000000925681534,0.05000000000000003,0.05000000087338006,0.05000000000000041,0.050000000000000065,0.05000000075274058,0.050000000000000266,0.050000000877577326,0.050000000741758595,0.05000000064375993,33895.04999997441,0.05000000000000003,0.05000000000000003,0.050000000597269424,0.05000000000000004,0.0500000013104607,0.050000000000009794,rails,2010-06
rails-tags_2009-06,0.05000000000000006,0.050000001022076974,87.24603140856937,0.05000000136648539,0.050000000000000044,0.050000001272925435,0.05000000000031459,0.05000000000000009,112.11474786752456,0.05000000000000031,0.050000001119905456,270.04287166454736,4.6986749316816825,36677.447028405775,0.050000000000000044,0.05000000000000005,0.05000000109873813,0.050000000000000065,148.75064568456963,0.050000000000009225,rails,2009-06
rails-tags_2009-01,0.05000000000000005,0.050000000923588916,0.050000001150598675,0.050000001063767376,0.05000000000000004,0.050000001106626654,0.05000000000000033,0.05000000000000007,0.05000000107758292,0.05000000000000025,0.05000000105190785,379.34459061773356,0.050000000719742886,33285.75540935154,0.05000000000000004,0.05000000000000004,0.05000000061324745,0.050000000000000044,0.050000001109561744,0.050000000000009044,rails,2009-01
rails-tags_2011-06,0.050000000000000044,0.050000001066154764,0.050000000924789366,0.05000000078168984,0.05000000000000003,0.05000000066619171,0.05000000000000097,0.05000000000000006,0.05000000065506475,0.050000000000000266,0.05000000080484934,0.050000000717130046,0.05000000085541898,39376.049999951356,0.050000000000000024,0.05000000000000003,0.05000000064057866,0.05000000000000004,0.050000022733657334,0.05000000000001001,rails,2011-06
rails-tags_2012-06,0.05000000000000004,0.05000000095696141,0.05000000082632558,0.05000000070308412,0.05000000000000003,0.05000000065901586,0.050000000000000926,0.05000000000000006,0.05000000058467794,0.05000000000000026,0.050000000746003,0.05000000061488075,0.050000000801292216,42786.04999997249,0.050000000000000024,0.05000000000000003,0.05000000053658462,0.05000000000000004,0.05000000118762747,0.050000000000010016,rails,2012-06
rails-tags_2008-01,0.050000000000000065,0.0500000011029195,0.05000000107420286,0.050000001192853256,0.05000000000000005,0.05000000100252221,0.0500000000000003,0.05000000000000009,0.050000001222426926,0.050000000000000266,240.94914358457714,134.23234853681862,0.05000000105336685,22645.96850784978,0.050000000000000044,0.05000000000000005,0.05000000080792039,0.050000000000000065,0.05000000135985498,0.050000000000009044,rails,2008-01
rails-tags_2007-06,0.05000000000000006,0.05000000104846764,0.050000000832919986,0.05000000108357751,0.050000000000000044,0.05000000071585743,0.05000000000000025,0.050000000000000086,87.5818487205521,0.05000000000000027,1251.6484982303623,115.57416931665315,0.05000000077703421,20160.3954837105,0.05000000000000004,0.050000000000000044,0.05000000071162572,0.05000000000000005,0.050000001044817104,0.05000000000000951,rails,2007-06
rails-tags_2006-01,0.05000000000000006,0.05000000109754422,0.05000000074193305,0.050000001018777426,0.050000000000000044,0.0500000009128511,0.05000000000000025,0.05000000000000008,64.49882916750833,0.050000000000000266,1579.5938657931579,262.24605785658895,0.05000000069780727,12867.86124716536,0.05000000000000004,0.050000000000000044,0.05000000081559725,0.05000000000000005,0.05000000120140395,0.050000000000009995,rails,2006-01
rails-tags_2008-06,0.05000000000000006,0.05000000104026014,0.05000000115648839,0.05000000144497147,0.05000000000000005,0.05000000098263265,0.05000000000000027,0.05000000000000008,0.05000000123897384,0.05000000000000024,205.73464001138663,553.3538017935648,0.0500000010238815,29337.06155816,0.050000000000000044,0.05000000000000005,0.050000000603080436,0.05000000000000006,0.05000000121863361,0.05000000000000795,rails,2008-06
