index,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15,topic16,topic17,topic18,topic19,topic20,topic21,topic22,topic23,topic24,topic25,topic26,topic27,topic28,topic29,project,date
0hh1,0.03333333333337525,237.51865145436042,0.03333333333336732,0.033333333333376826,0.03333333333335541,0.033333333333374335,0.03333333333337489,0.03333333333337303,173.11198949510475,1553.7467789278414,0.03333333333333333,580.4167260804387,140.6338174583214,0.03333333333333333,0.03333333333333333,0.03333333333335676,0.033333333333347696,0.03333333333335792,0.03333333333336568,0.03333333333333333,953.77203658238,0.03333333333333333,0.033333333333379414,0.033333333333370636,0.033333333333370664,0.03333333333338481,0.033333333333373495,0.03333333333337639,0.033333333333365064,0.0333333333333726,0hh1,2016-01
2048,0.03333333333335151,0.03333333333334773,0.033333333333388226,0.03333333333338262,0.033333333333339925,0.033333333333351645,0.033333333333394936,0.03333333333334527,11.76797328006576,276.81459423228665,0.03333333333333333,0.03333333333336876,199.2721864229808,0.03333333333333333,0.03333333333333333,0.033333333333347,0.033333333333351166,0.03333333333335494,0.033333333333345025,0.03333333333333345,0.03333333333336751,0.03333333333333333,0.03333333333336436,0.033333333333347905,0.033333333333376854,6.278579397754209,0.03333333333334743,0.033333333333358514,0.033333333333343845,0.033333333333349625,2048,2016-01
AtomicGameEngine,633.043376005143,0.033333333333384486,0.03333333333339099,0.03333333333338524,28.13720978406078,280.8953689627897,743.5485759701054,2394.3014170412616,0.0333333333333849,0.8626825084122498,0.03333333333333333,2027.107710687467,0.033333333333385465,0.03333333333333333,0.03333333333333334,305.55611834166655,63.661678633505346,0.03333333333338671,2036.0300495509168,0.03333333333333368,0.033333333333386235,0.03333333333333333,0.03333333333338591,508238.433327465,4499.250490671983,0.03333333333338409,0.03333333333338391,0.03333333333338887,26.60532746748293,0.03333333333338698,AtomicGameEngine,2016-01
BEMSimpleLineGraph,0.033333333333400224,0.03333333333336796,614.2427068292031,0.03333333333338065,0.03333333333336877,0.033333333333390704,0.03333333333336801,0.03333333333337357,0.03333333333336702,0.033333333333398454,0.03333333333333333,0.03333333333337977,843.8989470727145,0.03333333333333333,0.03333333333333333,57.18853157189297,0.033333333333342915,0.033333333333380975,0.033333333333390995,0.03333333333333333,0.033333333333371455,0.03333333333333333,0.033333333333382974,0.033333333333365966,0.033333333333377554,0.03333333333337817,0.03333333333336775,0.03333333333339524,0.03333333333338693,2120.803147858434,BEMSimpleLineGraph,2016-01
BrowserQuest,0.0333333333333878,0.033333333333373696,0.0333333333333656,30.87623727785331,0.033333333333384466,0.03333333333338613,0.033333333333380774,34.74693735596253,1185.1925933190585,4174.641127807858,0.03333333333333333,7653.81148345452,281.65840565451134,0.03333333333333333,0.03333333333333333,0.03333333333338402,0.033333333333425426,289.34944184749435,5.051024219755436,0.03333333333333404,886.5652265332049,0.03333333333333333,0.03333333333338781,0.03333333333338369,345.4408558533063,0.03333333333337515,0.03333333333336737,0.03333333333337579,0.03333333333337106,0.033333333333388025,BrowserQuest,2016-01
CNTK,0.03333333333337103,0.03333333333337291,0.033333333333369235,0.033333333333373745,61385.03333331448,0.033333333333367465,0.0333333333333764,0.033333333333373336,0.033333333333371226,0.0333333333333648,0.03333333333333333,0.033333333333372545,0.033333333333365155,0.03333333333333333,0.03333333333333334,0.033333333333374536,0.033333333333360686,0.03333333333336507,0.03333333333338192,0.03333333333333341,0.03333333333337322,0.03333333333333333,0.033333333333369346,0.03333333333337129,0.0333333333333789,0.03333333333338279,0.03333333333338115,0.03333333333336865,0.03333333333350781,0.0333333333333734,CNTK,2016-01
Caret,0.033333333333388684,0.033333333333389704,0.03333333333339588,0.03333333333339066,17.315172094398278,0.03333333333338403,128167.9746225903,29.698058826267594,528.5511517093836,0.033333333333380316,0.03333333333333333,5163.5463796467875,19.298254355042243,0.03333333333333333,0.03333333333333334,0.03333333333338558,68.45419298383807,788.1767158948763,308.4696027406312,0.03333333333333366,158.29334469782896,0.03333333333333333,138.37334040249198,0.033333333333385555,0.033333333333382564,0.0333333333333826,98.51129486039258,0.033333333333386866,0.033333333333386825,48.77120247604952,Caret,2016-01
Chart.js,0.03333333333336992,0.03333333333337936,27725.68351797957,770.858882204909,0.033333333333362206,0.03333333333337381,253.6102104685685,0.03333333333338005,635.9372386796108,0.033333333333368,0.03333333333333333,54.11460188953049,1418.5311448365371,0.03333333333333333,0.03333333333333333,0.03333333333336561,16.497737263068984,0.03333333333337944,0.033333333333363024,0.03333333333333375,0.033333333333371205,0.03333333333333333,0.033333333333366084,0.033333333333367125,0.033333333333372836,0.033333333333371115,0.03333333333336425,0.03333333333338305,0.03333333333337439,0.03333333333336946,Chart.js,2016-01
CodeIgniter,0.0333333333333818,0.033333333333376174,0.03333333333339069,0.03333333333337576,0.03333333333335453,1450.4688982049915,0.033333333333380274,11990.8566253933,0.033333333333367604,0.03333333333337617,0.03333333333333333,0.03333333333337146,0.03333333333337487,0.03333333333333333,0.03333333333333333,0.03333333333337411,31.24529937141356,761.5914217866539,6333.339656073431,0.03333333333333356,5160.101958164269,0.03333333333333333,0.03333333333336813,3318.6974136897556,251.96539397073025,0.03333333333337026,0.033333333333370956,0.03333333333336589,0.03333333333336884,0.03333333333337326,CodeIgniter,2016-01
Dash,0.03333333333339056,0.033333333333384514,0.033333333333396095,0.03333333333338747,0.033333333333387435,0.03333333333338922,0.03333333333338793,0.03333333333338563,0.03333333333339024,0.0333333333333895,0.03333333333333333,0.03333333333338688,0.033333333333386804,0.03333333333333333,0.03333333333333334,87399.03333329932,0.033333333333389496,0.033333333333386124,0.03333333333338183,0.0333333333333337,0.03333333333338495,0.03333333333333333,0.033333333333394576,0.033333333333385624,0.033333333333383335,0.03333333333338241,0.03333333333338062,0.03333333333338926,0.033333333333386346,0.03333333333339087,Dash,2016-01
